No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.560,1,65
2,00:00:02.600,00:00:09.880,66,248
3,00:00:09.920,00:00:14.840,249,372
4,00:00:14.880,00:00:28.720,373,719
5,00:00:28.760,00:00:30.760,720,770
6,00:00:30.800,00:00:35.680,771,893
7,00:00:35.720,00:00:37.280,894,933
8,00:00:37.320,00:00:39.080,934,978
9,00:00:39.120,00:00:42.760,979,1070
10,00:00:42.800,00:00:45.560,1071,1140
11,00:00:45.600,00:00:47.240,1141,1182
12,00:00:47.280,00:00:48.400,1183,1211
13,00:00:48.440,00:00:50.680,1212,1268
14,00:00:50.720,00:00:54.120,1269,1354
15,00:00:54.160,00:00:55.480,1355,1388
16,00:00:55.520,00:00:58.720,1389,1469
17,00:00:58.760,00:01:00.320,1470,1509
18,00:01:00.360,00:01:04.000,1510,1601
19,00:01:04.040,00:01:05.840,1602,1647
20,00:01:05.880,00:01:07.280,1648,1683
21,00:01:07.320,00:01:08.640,1684,1717
22,00:01:08.680,00:01:10.920,1718,1774
23,00:01:10.960,00:01:12.680,1775,1818
24,00:01:12.720,00:01:20.200,1819,2006
25,00:01:20.240,00:01:24.760,2007,2120
26,00:01:24.800,00:01:35.760,2121,2395
27,00:01:35.800,00:01:40.520,2396,2514
28,00:01:40.560,00:01:47.680,2515,2693
29,00:01:47.720,00:01:51.920,2694,2799
30,00:01:51.960,00:01:57.920,2800,2949
