No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:12.560,1,315
2,00:00:12.600,00:00:14.400,316,361
3,00:00:14.440,00:00:21.560,362,540
4,00:00:21.600,00:00:26.920,541,674
5,00:00:26.960,00:00:38.600,675,966
6,00:00:38.640,00:00:42.440,967,1062
7,00:00:42.480,00:00:45.120,1063,1129
8,00:00:45.160,00:00:48.120,1130,1204
9,00:00:48.160,00:00:49.560,1205,1240
10,00:00:49.600,00:00:51.200,1241,1281
11,00:00:51.240,00:00:53.280,1282,1333
12,00:00:53.320,00:01:09.040,1334,1727
13,00:01:09.080,00:01:13.960,1728,1850
14,00:01:14.000,00:01:31.160,1851,2280
15,00:01:31.200,00:01:35.280,2281,2383
16,00:01:35.320,00:01:38.320,2384,2459
17,00:01:38.360,00:01:40.640,2460,2517
18,00:01:40.680,00:01:47.040,2518,2677
19,00:01:47.080,00:01:49.080,2678,2728
20,00:01:49.120,00:02:01.840,2729,3047
21,00:02:01.880,00:02:03.680,3048,3093
22,00:02:03.720,00:02:12.720,3094,3319
23,00:02:12.760,00:02:21.240,3320,3532
24,00:02:21.280,00:02:22.680,3533,3568
25,00:02:22.720,00:02:27.640,3569,3692
26,00:02:27.680,00:02:30.040,3693,3752
27,00:02:30.080,00:02:33.720,3753,3844
28,00:02:33.760,00:02:36.520,3845,3914
29,00:02:36.560,00:02:39.480,3915,3988
30,00:02:39.520,00:02:41.880,3989,4048
31,00:02:41.920,00:02:46.760,4049,4170
32,00:02:46.800,00:03:04.160,4171,4605
33,00:03:04.200,00:03:04.960,4606,4625
