No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:16.880,1,423
2,00:00:16.920,00:00:20.400,424,511
3,00:00:20.440,00:00:25.160,512,630
4,00:00:25.200,00:00:27.400,631,686
5,00:00:27.440,00:00:30.360,687,760
6,00:00:30.400,00:00:35.440,761,887
7,00:00:35.480,00:00:37.560,888,940
8,00:00:37.600,00:00:53.320,941,1334
9,00:00:53.360,00:00:54.680,1335,1368
10,00:00:54.720,00:00:57.560,1369,1440
11,00:00:57.600,00:01:08.720,1441,1719
12,00:01:08.760,00:01:21.160,1720,2030
13,00:01:21.200,00:01:25.000,2031,2126
14,00:01:25.040,00:01:41.520,2127,2539
15,00:01:41.560,00:01:50.120,2540,2754
16,00:01:50.160,00:01:54.000,2755,2851
17,00:01:54.040,00:01:59.440,2852,2987
18,00:01:59.480,00:02:02.840,2988,3072
19,00:02:02.880,00:02:04.240,3073,3107
20,00:02:04.280,00:02:06.400,3108,3161
21,00:02:06.440,00:02:08.760,3162,3220
22,00:02:08.800,00:02:10.480,3221,3263
23,00:02:10.520,00:02:13.160,3264,3330
24,00:02:13.200,00:02:15.880,3331,3398
25,00:02:15.920,00:02:18.040,3399,3452
26,00:02:18.080,00:02:19.640,3453,3492
27,00:02:19.680,00:02:21.280,3493,3533
28,00:02:21.320,00:02:24.880,3534,3623
29,00:02:24.920,00:02:27.240,3624,3682
30,00:02:27.280,00:02:28.440,3683,3712
31,00:02:28.480,00:02:32.320,3713,3809
32,00:02:32.360,00:02:35.280,3810,3883
33,00:02:35.320,00:02:38.200,3884,3956
34,00:02:38.240,00:02:41.000,3957,4026
35,00:02:41.040,00:02:43.760,4027,4095
36,00:02:43.800,00:02:46.680,4096,4168
37,00:02:46.720,00:02:48.720,4169,4219
38,00:02:48.760,00:02:51.360,4220,4285
39,00:02:51.400,00:02:54.720,4286,4369
