No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.480,1,138
2,00:00:05.520,00:00:08.680,139,218
3,00:00:08.720,00:00:10.400,219,261
4,00:00:10.440,00:00:12.120,262,304
5,00:00:12.160,00:00:14.000,305,351
6,00:00:14.040,00:00:15.600,352,391
7,00:00:15.640,00:00:17.080,392,428
8,00:00:17.120,00:00:18.080,429,453
9,00:00:18.120,00:00:23.120,454,579
10,00:00:23.160,00:00:24.560,580,615
11,00:00:24.600,00:00:25.360,616,635
12,00:00:25.400,00:00:30.040,636,752
13,00:00:30.080,00:00:31.280,753,783
14,00:00:31.320,00:00:34.520,784,864
15,00:00:34.560,00:00:36.440,865,912
16,00:00:36.480,00:00:37.600,913,941
17,00:00:37.640,00:00:38.560,942,965
18,00:00:38.600,00:00:39.560,966,990
19,00:00:39.600,00:00:40.440,991,1012
20,00:00:40.480,00:00:42.080,1013,1053
21,00:00:42.120,00:00:43.360,1054,1085
22,00:00:43.400,00:00:44.600,1086,1116
23,00:00:44.640,00:00:46.800,1117,1171
24,00:00:46.840,00:00:48.400,1172,1211
25,00:00:48.440,00:00:49.520,1212,1239
26,00:00:49.560,00:00:50.880,1240,1273
27,00:00:50.920,00:00:52.080,1274,1303
28,00:00:52.120,00:00:53.360,1304,1335
29,00:00:53.400,00:00:55.240,1336,1382
30,00:00:55.280,00:00:56.240,1383,1407
31,00:00:56.280,00:00:57.360,1408,1435
32,00:00:57.400,00:00:58.400,1436,1461
33,00:00:58.440,00:00:59.880,1462,1498
34,00:00:59.920,00:01:02.240,1499,1557
35,00:01:02.280,00:01:03.360,1558,1585
36,00:01:03.400,00:01:04.560,1586,1615
37,00:01:04.600,00:01:07.160,1616,1680
38,00:01:07.200,00:01:08.440,1681,1712
39,00:01:08.480,00:01:09.080,1713,1728
40,00:01:09.120,00:01:09.800,1729,1746
41,00:01:09.840,00:01:10.520,1747,1764
42,00:01:10.560,00:01:11.360,1765,1785
43,00:01:11.400,00:01:12.680,1786,1818
44,00:01:12.720,00:01:14.840,1819,1872
45,00:01:14.880,00:01:20.080,1873,2003
