No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.640,1,42
2,00:00:01.680,00:00:04.080,43,103
3,00:00:04.120,00:00:13.560,104,340
4,00:00:13.600,00:00:15.320,341,384
5,00:00:15.360,00:00:18.120,385,454
6,00:00:18.160,00:00:20.760,455,520
7,00:00:20.800,00:00:31.480,521,788
8,00:00:31.520,00:00:32.760,789,820
9,00:00:32.800,00:00:42.160,821,1055
10,00:00:42.200,00:00:46.880,1056,1173
11,00:00:46.920,00:00:48.880,1174,1223
12,00:00:48.920,00:00:52.800,1224,1321
13,00:00:52.840,00:00:57.760,1322,1445
14,00:00:57.800,00:01:00.320,1446,1509
15,00:01:00.360,00:01:02.680,1510,1568
