No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:17.120,1,429
2,00:00:17.160,00:00:25.360,430,635
3,00:00:25.400,00:00:28.160,636,705
4,00:00:28.200,00:00:31.680,706,793
5,00:00:31.720,00:00:37.640,794,942
6,00:00:37.680,00:00:39.520,943,989
7,00:00:39.560,00:00:55.800,990,1396
8,00:00:55.840,00:01:07.440,1397,1687
9,00:01:07.480,00:01:11.960,1688,1800
10,00:01:12.000,00:01:15.440,1801,1887
11,00:01:15.480,00:01:19.680,1888,1993
12,00:01:19.720,00:01:20.840,1994,2022
13,00:01:20.880,00:01:23.240,2023,2082
14,00:01:23.280,00:01:27.640,2083,2192
15,00:01:27.680,00:01:29.440,2193,2237
16,00:01:29.480,00:01:31.160,2238,2280
17,00:01:31.200,00:01:36.640,2281,2417
18,00:01:36.680,00:01:38.240,2418,2457
19,00:01:38.280,00:01:41.360,2458,2535
20,00:01:41.400,00:01:44.960,2536,2625
21,00:01:45.000,00:01:47.600,2626,2691
22,00:01:47.640,00:01:49.440,2692,2737
23,00:01:49.480,00:01:52.360,2738,2810
24,00:01:52.400,00:01:53.840,2811,2847
25,00:01:53.880,00:01:56.240,2848,2907
26,00:01:56.280,00:01:58.200,2908,2956
27,00:01:58.240,00:02:00.160,2957,3005
28,00:02:00.200,00:02:02.920,3006,3074
29,00:02:02.960,00:02:04.120,3075,3104
30,00:02:04.160,00:02:07.280,3105,3183
31,00:02:07.320,00:02:20.280,3184,3508
32,00:02:20.320,00:02:23.120,3509,3579
33,00:02:23.160,00:02:25.960,3580,3650
34,00:02:26.000,00:02:30.640,3651,3767
35,00:02:30.680,00:02:33.640,3768,3842
36,00:02:33.680,00:02:38.160,3843,3955
37,00:02:38.200,00:02:54.640,3956,4367
38,00:02:54.680,00:02:58.040,4368,4452
39,00:02:58.080,00:02:59.600,4453,4491
40,00:02:59.640,00:03:01.560,4492,4540
41,00:03:01.600,00:03:04.040,4541,4602
