No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.640,1,17
2,00:00:00.680,00:00:10.000,18,251
3,00:00:10.040,00:00:14.440,252,362
4,00:00:14.480,00:00:18.440,363,462
5,00:00:18.480,00:00:21.360,463,535
6,00:00:21.400,00:00:24.120,536,604
7,00:00:24.160,00:00:28.400,605,711
8,00:00:28.440,00:00:42.760,712,1070
9,00:00:42.800,00:00:49.960,1071,1250
10,00:00:50.000,00:00:52.960,1251,1325
11,00:00:53.000,00:00:55.160,1326,1380
12,00:00:55.200,00:00:58.800,1381,1471
13,00:00:58.840,00:01:03.080,1472,1578
14,00:01:03.120,00:01:06.360,1579,1660
15,00:01:06.400,00:01:09.320,1661,1734
16,00:01:09.360,00:01:11.720,1735,1794
17,00:01:11.760,00:01:15.320,1795,1884
18,00:01:15.360,00:01:18.880,1885,1973
19,00:01:18.920,00:01:21.040,1974,2027
20,00:01:21.080,00:01:26.160,2028,2155
21,00:01:26.200,00:01:28.760,2156,2220
22,00:01:28.800,00:01:39.000,2221,2476
23,00:01:39.040,00:01:41.960,2477,2550
24,00:01:42.000,00:01:47.600,2551,2691
25,00:01:47.640,00:01:51.360,2692,2785
26,00:01:51.400,00:02:00.600,2786,3016
27,00:02:00.640,00:02:05.280,3017,3133
28,00:02:05.320,00:02:08.320,3134,3209
29,00:02:08.360,00:02:11.560,3210,3290
30,00:02:11.600,00:02:17.600,3291,3441
31,00:02:17.640,00:02:21.960,3442,3550
32,00:02:22.000,00:02:28.400,3551,3711
33,00:02:28.440,00:02:33.800,3712,3846
