No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.360,1,35
2,00:00:01.400,00:00:04.280,36,108
3,00:00:04.320,00:00:06.120,109,154
4,00:00:06.160,00:00:07.920,155,199
5,00:00:07.960,00:00:09.880,200,248
6,00:00:09.920,00:00:14.000,249,351
7,00:00:14.040,00:00:17.320,352,434
8,00:00:17.360,00:00:20.360,435,510
9,00:00:20.400,00:00:23.120,511,579
10,00:00:23.160,00:00:27.400,580,686
11,00:00:27.440,00:00:31.040,687,777
12,00:00:31.080,00:00:34.320,778,859
13,00:00:34.360,00:00:40.840,860,1022
14,00:00:40.880,00:00:44.360,1023,1110
15,00:00:44.400,00:00:46.240,1111,1157
16,00:00:46.280,00:00:50.040,1158,1252
17,00:00:50.080,00:00:54.000,1253,1351
18,00:00:54.040,00:00:57.600,1352,1441
19,00:00:57.640,00:01:00.440,1442,1512
20,00:01:00.480,00:01:05.000,1513,1626
21,00:01:05.040,00:01:07.880,1627,1698
22,00:01:07.920,00:01:11.240,1699,1782
23,00:01:11.280,00:01:14.320,1783,1859
24,00:01:14.360,00:01:16.320,1860,1909
25,00:01:16.360,00:01:18.400,1910,1961
26,00:01:18.440,00:01:21.360,1962,2035
27,00:01:21.400,00:01:24.480,2036,2113
28,00:01:24.520,00:01:26.640,2114,2167
29,00:01:26.680,00:01:28.200,2168,2206
30,00:01:28.240,00:01:30.760,2207,2270
