No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.200,1,31
2,00:00:01.240,00:00:04.560,32,115
3,00:00:04.600,00:00:06.560,116,165
4,00:00:06.600,00:00:08.840,166,222
5,00:00:08.880,00:00:11.760,223,295
6,00:00:11.800,00:00:13.800,296,346
7,00:00:13.840,00:00:15.840,347,397
8,00:00:15.880,00:00:19.320,398,484
9,00:00:19.360,00:00:21.440,485,537
10,00:00:21.480,00:00:21.480,538,538
11,00:00:21.520,00:00:21.520,539,539
12,00:00:21.560,00:00:24.000,540,601
13,00:00:24.040,00:00:25.480,602,638
14,00:00:25.520,00:00:27.560,639,690
15,00:00:27.600,00:00:29.840,691,747
16,00:00:29.880,00:00:32.400,748,811
17,00:00:32.440,00:00:34.400,812,861
18,00:00:34.440,00:00:37.360,862,935
19,00:00:37.400,00:00:39.800,936,996
20,00:00:39.840,00:00:41.760,997,1045
