No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.720,1,144
2,00:00:05.760,00:00:15.680,145,393
3,00:00:15.720,00:00:34.680,394,868
4,00:00:34.720,00:00:42.320,869,1059
5,00:00:42.360,00:00:47.200,1060,1181
6,00:00:47.240,00:00:57.560,1182,1440
7,00:00:57.600,00:01:00.880,1441,1523
8,00:01:00.920,00:01:04.680,1524,1618
9,00:01:04.720,00:01:07.760,1619,1695
10,00:01:07.800,00:01:12.080,1696,1803
11,00:01:12.120,00:01:18.960,1804,1975
12,00:01:19.000,00:01:27.520,1976,2189
