No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.080,1,3
2,00:00:00.120,00:00:03.880,4,98
3,00:00:03.920,00:00:07.560,99,190
4,00:00:07.600,00:00:10.240,191,257
5,00:00:10.280,00:00:14.800,258,371
6,00:00:14.840,00:00:21.720,372,544
7,00:00:21.760,00:00:33.280,545,833
8,00:00:33.320,00:00:38.400,834,961
9,00:00:38.440,00:00:42.480,962,1063
10,00:00:42.520,00:00:46.200,1064,1156
11,00:00:46.240,00:00:48.480,1157,1213
12,00:00:48.520,00:00:49.840,1214,1247
13,00:00:49.880,00:00:53.880,1248,1348
14,00:00:53.920,00:00:57.480,1349,1438
15,00:00:57.520,00:01:02.800,1439,1571
16,00:01:02.840,00:01:08.160,1572,1705
17,00:01:08.200,00:01:14.760,1706,1870
18,00:01:14.800,00:01:25.120,1871,2129
19,00:01:25.160,00:01:34.400,2130,2361
20,00:01:34.440,00:01:40.280,2362,2508
21,00:01:40.320,00:01:45.600,2509,2641
22,00:01:45.640,00:01:47.280,2642,2683
23,00:01:47.320,00:01:51.520,2684,2789
24,00:01:51.560,00:01:55.760,2790,2895
25,00:01:55.800,00:01:57.840,2896,2947
26,00:01:57.880,00:02:01.680,2948,3043
27,00:02:01.720,00:02:06.520,3044,3164
28,00:02:06.560,00:02:09.760,3165,3245
29,00:02:09.800,00:02:10.080,3246,3253
