No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.680,1,93
2,00:00:03.720,00:00:06.720,94,169
3,00:00:06.760,00:00:13.560,170,340
4,00:00:13.600,00:00:19.040,341,477
5,00:00:19.080,00:00:22.640,478,567
6,00:00:22.680,00:00:28.040,568,702
7,00:00:28.080,00:00:32.280,703,808
8,00:00:32.320,00:00:36.360,809,910
9,00:00:36.400,00:00:42.200,911,1056
10,00:00:42.240,00:00:49.000,1057,1226
11,00:00:49.040,00:00:52.960,1227,1325
12,00:00:53.000,00:00:57.120,1326,1429
13,00:00:57.160,00:00:59.600,1430,1491
14,00:00:59.640,00:01:02.720,1492,1569
15,00:01:02.760,00:01:18.320,1570,1959
16,00:01:18.360,00:01:20.840,1960,2022
17,00:01:20.880,00:01:25.640,2023,2142
18,00:01:25.680,00:01:30.840,2143,2272
19,00:01:30.880,00:01:36.080,2273,2403
20,00:01:36.120,00:01:39.920,2404,2499
21,00:01:39.960,00:01:42.200,2500,2556
22,00:01:42.240,00:01:46.040,2557,2652
23,00:01:46.080,00:02:05.000,2653,3126
