No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.400,1,86
2,00:00:03.440,00:00:05.440,87,137
3,00:00:05.480,00:00:07.720,138,194
4,00:00:07.760,00:00:12.040,195,302
5,00:00:12.080,00:00:16.600,303,416
6,00:00:16.640,00:00:18.640,417,467
7,00:00:18.680,00:00:21.040,468,527
8,00:00:21.080,00:00:22.080,528,553
9,00:00:22.120,00:00:26.480,554,663
10,00:00:26.520,00:00:29.640,664,742
11,00:00:29.680,00:00:32.720,743,819
12,00:00:32.760,00:00:34.040,820,852
13,00:00:34.080,00:00:35.160,853,880
14,00:00:35.200,00:00:39.920,881,999
15,00:00:39.960,00:00:42.440,1000,1062
16,00:00:42.480,00:00:44.680,1063,1118
17,00:00:44.720,00:00:47.360,1119,1185
18,00:00:47.400,00:00:50.160,1186,1255
19,00:00:50.200,00:00:52.840,1256,1322
20,00:00:52.880,00:00:53.960,1323,1350
21,00:00:54.000,00:00:55.840,1351,1397
22,00:00:55.880,00:00:57.240,1398,1432
23,00:00:57.280,00:00:58.880,1433,1473
24,00:00:58.920,00:01:00.480,1474,1513
25,00:01:00.520,00:01:01.480,1514,1538
26,00:01:01.520,00:01:05.360,1539,1635
27,00:01:05.400,00:01:07.840,1636,1697
28,00:01:07.880,00:01:09.800,1698,1746
29,00:01:09.840,00:01:17.400,1747,1936
30,00:01:17.440,00:01:19.280,1937,1983
31,00:01:19.320,00:01:20.800,1984,2021
32,00:01:20.840,00:01:21.480,2022,2038
33,00:01:21.520,00:01:24.800,2039,2121
34,00:01:24.840,00:01:27.560,2122,2190
35,00:01:27.600,00:01:30.440,2191,2262
36,00:01:30.480,00:01:31.760,2263,2295
37,00:01:31.800,00:01:33.320,2296,2334
38,00:01:33.360,00:01:38.920,2335,2474
39,00:01:38.960,00:01:41.720,2475,2544
40,00:01:41.760,00:01:45.000,2545,2626
41,00:01:45.040,00:01:48.720,2627,2719
42,00:01:48.760,00:01:55.760,2720,2895
43,00:01:55.800,00:01:57.720,2896,2944
44,00:01:57.760,00:02:02.880,2945,3073
45,00:02:02.920,00:02:05.760,3074,3145
46,00:02:05.800,00:02:09.160,3146,3230
47,00:02:09.200,00:02:12.120,3231,3304
48,00:02:12.160,00:02:18.400,3305,3461
49,00:02:18.440,00:02:19.200,3462,3481
50,00:02:19.240,00:02:20.400,3482,3511
51,00:02:20.440,00:02:24.040,3512,3602
52,00:02:24.080,00:02:25.760,3603,3645
53,00:02:25.800,00:02:27.400,3646,3686
54,00:02:27.440,00:02:28.840,3687,3722
55,00:02:28.880,00:02:30.360,3723,3760
56,00:02:30.400,00:02:34.920,3761,3874
57,00:02:34.960,00:02:36.240,3875,3907
58,00:02:36.280,00:02:38.880,3908,3973
59,00:02:38.920,00:02:40.840,3974,4022
60,00:02:40.880,00:02:41.960,4023,4050
61,00:02:42.000,00:02:44.240,4051,4107
62,00:02:44.280,00:02:46.520,4108,4164
63,00:02:46.560,00:02:49.240,4165,4232
64,00:02:49.280,00:02:51.840,4233,4297
65,00:02:51.880,00:02:54.080,4298,4353
66,00:02:54.120,00:02:56.080,4354,4403
67,00:02:56.120,00:02:58.000,4404,4451
68,00:02:58.040,00:02:59.840,4452,4497
69,00:02:59.880,00:03:02.320,4498,4559
70,00:03:02.360,00:03:05.200,4560,4631
71,00:03:05.240,00:03:10.200,4632,4756
72,00:03:10.240,00:03:12.920,4757,4824
73,00:03:12.960,00:03:17.600,4825,4941
74,00:03:17.640,00:03:24.040,4942,5102
75,00:03:24.080,00:03:24.760,5103,5120
