No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.000,1,1
2,00:00:00.040,00:00:01.760,2,45
3,00:00:01.800,00:00:03.160,46,80
4,00:00:03.200,00:00:05.320,81,134
5,00:00:05.360,00:00:06.080,135,153
6,00:00:06.120,00:00:12.200,154,306
7,00:00:12.240,00:00:16.720,307,419
8,00:00:16.760,00:00:19.200,420,481
9,00:00:19.240,00:00:20.400,482,511
10,00:00:20.440,00:00:23.320,512,584
11,00:00:23.360,00:00:25.920,585,649
12,00:00:25.960,00:00:28.360,650,710
13,00:00:28.400,00:00:32.160,711,805
14,00:00:32.200,00:00:34.240,806,857
15,00:00:34.280,00:00:36.880,858,923
16,00:00:36.920,00:00:39.440,924,987
17,00:00:39.480,00:00:44.200,988,1106
18,00:00:44.240,00:00:46.160,1107,1155
19,00:00:46.200,00:00:47.600,1156,1191
20,00:00:47.640,00:00:55.160,1192,1380
21,00:00:55.200,00:00:58.200,1381,1456
22,00:00:58.240,00:01:00.360,1457,1510
23,00:01:00.400,00:01:02.520,1511,1564
24,00:01:02.560,00:01:04.960,1565,1625
25,00:01:05.000,00:01:07.160,1626,1680
26,00:01:07.200,00:01:09.040,1681,1727
27,00:01:09.080,00:01:12.800,1728,1821
28,00:01:12.840,00:01:14.880,1822,1873
29,00:01:14.920,00:01:16.880,1874,1923
30,00:01:16.920,00:01:24.600,1924,2116
31,00:01:24.640,00:01:26.440,2117,2162
32,00:01:26.480,00:01:29.160,2163,2230
33,00:01:29.200,00:01:32.720,2231,2319
34,00:01:32.760,00:01:34.400,2320,2361
35,00:01:34.440,00:01:46.760,2362,2670
36,00:01:46.800,00:01:50.040,2671,2752
37,00:01:50.080,00:01:59.280,2753,2983
38,00:01:59.320,00:02:03.080,2984,3078
39,00:02:03.120,00:02:10.440,3079,3262
40,00:02:10.480,00:02:16.680,3263,3418
41,00:02:16.720,00:02:18.920,3419,3474
42,00:02:18.960,00:02:21.640,3475,3542
43,00:02:21.680,00:02:23.880,3543,3598
44,00:02:23.920,00:02:25.600,3599,3641
45,00:02:25.640,00:02:29.240,3642,3732
46,00:02:29.280,00:02:31.880,3733,3798
47,00:02:31.920,00:02:35.000,3799,3876
48,00:02:35.040,00:02:39.280,3877,3983
49,00:02:39.320,00:02:42.640,3984,4067
50,00:02:42.680,00:02:47.360,4068,4185
51,00:02:47.400,00:02:49.320,4186,4234
52,00:02:49.360,00:02:53.480,4235,4338
53,00:02:53.520,00:02:55.040,4339,4377
54,00:02:55.080,00:02:56.880,4378,4423
55,00:02:56.920,00:02:56.960,4424,4425
56,00:02:57.000,00:02:58.880,4426,4473
57,00:02:58.920,00:03:03.200,4474,4581
