No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.960,1,75
2,00:00:03.000,00:00:05.480,76,138
3,00:00:05.520,00:00:10.440,139,262
4,00:00:10.480,00:00:13.000,263,326
5,00:00:13.040,00:00:14.880,327,373
6,00:00:14.920,00:00:17.840,374,447
7,00:00:17.880,00:00:22.520,448,564
8,00:00:22.560,00:00:27.920,565,699
9,00:00:27.960,00:00:34.680,700,868
10,00:00:34.720,00:00:37.480,869,938
11,00:00:37.520,00:00:38.920,939,974
12,00:00:38.960,00:00:43.480,975,1088
13,00:00:43.520,00:00:45.680,1089,1143
14,00:00:45.720,00:00:47.720,1144,1194
15,00:00:47.760,00:00:49.360,1195,1235
16,00:00:49.400,00:00:51.000,1236,1276
17,00:00:51.040,00:00:52.320,1277,1309
18,00:00:52.360,00:00:53.920,1310,1349
19,00:00:53.960,00:00:55.480,1350,1388
20,00:00:55.520,00:00:57.120,1389,1429
21,00:00:57.160,00:00:58.520,1430,1464
22,00:00:58.560,00:01:02.440,1465,1562
23,00:01:02.480,00:01:07.320,1563,1684
24,00:01:07.360,00:01:08.320,1685,1709
25,00:01:08.360,00:01:13.680,1710,1843
26,00:01:13.720,00:01:15.440,1844,1887
27,00:01:15.480,00:01:17.160,1888,1930
28,00:01:17.200,00:01:18.520,1931,1964
29,00:01:18.560,00:01:19.320,1965,1984
30,00:01:19.360,00:01:20.800,1985,2021
31,00:01:20.840,00:01:22.400,2022,2061
32,00:01:22.440,00:01:23.920,2062,2099
33,00:01:23.960,00:01:25.160,2100,2130
34,00:01:25.200,00:01:25.880,2131,2148
35,00:01:25.920,00:01:27.040,2149,2177
36,00:01:27.080,00:01:28.680,2178,2218
37,00:01:28.720,00:01:31.360,2219,2285
38,00:01:31.400,00:01:34.840,2286,2372
39,00:01:34.880,00:01:36.960,2373,2425
40,00:01:37.000,00:01:39.800,2426,2496
41,00:01:39.840,00:01:41.920,2497,2549
42,00:01:41.960,00:01:43.240,2550,2582
43,00:01:43.280,00:01:45.640,2583,2642
44,00:01:45.680,00:01:47.080,2643,2678
45,00:01:47.120,00:01:48.920,2679,2724
46,00:01:48.960,00:01:50.760,2725,2770
47,00:01:50.800,00:01:52.240,2771,2807
48,00:01:52.280,00:01:53.680,2808,2843
49,00:01:53.720,00:01:54.960,2844,2875
50,00:01:55.000,00:01:56.040,2876,2902
51,00:01:56.080,00:01:57.360,2903,2935
52,00:01:57.400,00:02:00.720,2936,3019
53,00:02:00.760,00:02:02.960,3020,3075
54,00:02:03.000,00:02:05.480,3076,3138
55,00:02:05.520,00:02:09.400,3139,3236
56,00:02:09.440,00:02:11.840,3237,3297
57,00:02:11.880,00:02:14.240,3298,3357
58,00:02:14.280,00:02:26.720,3358,3669
59,00:02:26.760,00:02:29.320,3670,3734
60,00:02:29.360,00:02:33.800,3735,3846
61,00:02:33.840,00:02:37.080,3847,3928
62,00:02:37.120,00:02:39.960,3929,4000
63,00:02:40.000,00:02:43.800,4001,4096
64,00:02:43.840,00:02:46.120,4097,4154
65,00:02:46.160,00:02:49.680,4155,4243
66,00:02:49.720,00:02:50.920,4244,4274
67,00:02:50.960,00:02:53.520,4275,4339
68,00:02:53.560,00:02:55.400,4340,4386
69,00:02:55.440,00:02:56.720,4387,4419
70,00:02:56.760,00:02:59.160,4420,4480
71,00:02:59.200,00:03:01.000,4481,4526
72,00:03:01.040,00:03:02.160,4527,4555
