No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.280,1,33
2,00:00:01.320,00:00:03.560,34,90
3,00:00:03.600,00:00:06.080,91,153
4,00:00:06.120,00:00:07.320,154,184
5,00:00:07.360,00:00:09.200,185,231
6,00:00:09.240,00:00:10.960,232,275
7,00:00:11.000,00:00:15.360,276,385
8,00:00:15.400,00:00:16.320,386,409
9,00:00:16.360,00:00:18.560,410,465
10,00:00:18.600,00:00:22.440,466,562
11,00:00:22.480,00:00:24.160,563,605
12,00:00:24.200,00:00:26.040,606,652
13,00:00:26.080,00:00:27.320,653,684
14,00:00:27.360,00:00:29.120,685,729
15,00:00:29.160,00:00:32.000,730,801
16,00:00:32.040,00:00:35.760,802,895
17,00:00:35.800,00:00:38.040,896,952
18,00:00:38.080,00:00:43.760,953,1095
19,00:00:43.800,00:00:48.840,1096,1222
20,00:00:48.880,00:00:50.800,1223,1271
21,00:00:50.840,00:00:53.600,1272,1341
22,00:00:53.640,00:00:55.800,1342,1396
23,00:00:55.840,00:00:58.760,1397,1470
24,00:00:58.800,00:01:06.200,1471,1656
25,00:01:06.240,00:01:08.640,1657,1717
26,00:01:08.680,00:01:11.560,1718,1790
27,00:01:11.600,00:01:13.160,1791,1830
28,00:01:13.200,00:01:16.600,1831,1916
29,00:01:16.640,00:01:18.680,1917,1968
30,00:01:18.720,00:01:20.800,1969,2021
31,00:01:20.840,00:01:22.880,2022,2073
32,00:01:22.920,00:01:24.480,2074,2113
33,00:01:24.520,00:01:26.040,2114,2152
34,00:01:26.080,00:01:27.920,2153,2199
35,00:01:27.960,00:01:29.760,2200,2245
36,00:01:29.800,00:01:38.000,2246,2451
37,00:01:38.040,00:01:41.440,2452,2537
38,00:01:41.480,00:01:44.080,2538,2603
39,00:01:44.120,00:01:47.360,2604,2685
40,00:01:47.400,00:01:49.360,2686,2735
41,00:01:49.400,00:01:54.360,2736,2860
42,00:01:54.400,00:02:00.600,2861,3016
43,00:02:00.640,00:02:03.000,3017,3076
44,00:02:03.040,00:02:05.880,3077,3148
45,00:02:05.920,00:02:12.440,3149,3312
46,00:02:12.480,00:02:14.760,3313,3370
47,00:02:14.800,00:02:19.240,3371,3482
48,00:02:19.280,00:02:24.840,3483,3622
49,00:02:24.880,00:02:27.160,3623,3680
50,00:02:27.200,00:02:28.400,3681,3711
51,00:02:28.440,00:02:30.320,3712,3759
52,00:02:30.360,00:02:34.160,3760,3855
53,00:02:34.200,00:02:39.800,3856,3996
54,00:02:39.840,00:02:47.880,3997,4198
55,00:02:47.920,00:02:50.480,4199,4263
56,00:02:50.520,00:02:59.040,4264,4477
57,00:02:59.080,00:03:02.000,4478,4551
