No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.840,1,122
2,00:00:04.880,00:00:06.760,123,170
3,00:00:06.800,00:00:07.960,171,200
4,00:00:08.000,00:00:22.080,201,553
5,00:00:22.120,00:00:25.120,554,629
6,00:00:25.160,00:00:26.760,630,670
7,00:00:26.800,00:00:31.560,671,790
8,00:00:31.600,00:00:32.840,791,822
9,00:00:32.880,00:00:38.000,823,951
10,00:00:38.040,00:00:40.000,952,1001
11,00:00:40.040,00:00:42.560,1002,1065
12,00:00:42.600,00:00:44.960,1066,1125
13,00:00:45.000,00:00:48.000,1126,1201
14,00:00:48.040,00:00:50.320,1202,1259
15,00:00:50.360,00:00:52.840,1260,1322
16,00:00:52.880,00:00:56.120,1323,1404
17,00:00:56.160,00:00:58.600,1405,1466
18,00:00:58.640,00:01:02.120,1467,1554
19,00:01:02.160,00:01:10.360,1555,1760
20,00:01:10.400,00:01:16.080,1761,1903
21,00:01:16.120,00:01:17.640,1904,1942
22,00:01:17.680,00:01:19.960,1943,2000
23,00:01:20.000,00:01:22.600,2001,2066
24,00:01:22.640,00:01:31.160,2067,2280
