No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.880,1,48
2,00:00:01.920,00:00:07.280,49,183
3,00:00:07.320,00:00:23.400,184,586
4,00:00:23.440,00:00:24.840,587,622
5,00:00:24.880,00:00:26.680,623,668
6,00:00:26.720,00:00:30.760,669,770
7,00:00:30.800,00:00:32.680,771,818
8,00:00:32.720,00:00:35.040,819,877
9,00:00:35.080,00:00:37.040,878,927
10,00:00:37.080,00:00:38.400,928,961
11,00:00:38.440,00:00:39.320,962,984
12,00:00:39.360,00:00:42.120,985,1054
13,00:00:42.160,00:00:45.200,1055,1131
14,00:00:45.240,00:00:46.560,1132,1165
15,00:00:46.600,00:00:48.520,1166,1214
16,00:00:48.560,00:00:50.640,1215,1267
17,00:00:50.680,00:00:52.440,1268,1312
18,00:00:52.480,00:01:01.800,1313,1546
19,00:01:01.840,00:01:04.880,1547,1623
20,00:01:04.920,00:01:08.120,1624,1704
21,00:01:08.160,00:01:10.440,1705,1762
22,00:01:10.480,00:01:12.560,1763,1815
23,00:01:12.600,00:01:15.280,1816,1883
24,00:01:15.320,00:01:18.640,1884,1967
25,00:01:18.680,00:01:21.560,1968,2040
26,00:01:21.600,00:01:25.160,2041,2130
27,00:01:25.200,00:01:28.560,2131,2215
28,00:01:28.600,00:01:29.600,2216,2241
29,00:01:29.640,00:01:35.760,2242,2395
30,00:01:35.800,00:01:37.240,2396,2432
31,00:01:37.280,00:01:38.160,2433,2455
32,00:01:38.200,00:01:40.360,2456,2510
33,00:01:40.400,00:01:41.360,2511,2535
