No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.520,1,14
2,00:00:00.560,00:00:11.240,15,282
3,00:00:11.280,00:00:12.800,283,321
4,00:00:12.840,00:00:14.160,322,355
5,00:00:14.200,00:00:15.360,356,385
6,00:00:15.400,00:00:16.960,386,425
7,00:00:17.000,00:00:21.560,426,540
8,00:00:21.600,00:00:29.360,541,735
9,00:00:29.400,00:00:31.440,736,787
10,00:00:31.480,00:00:33.920,788,849
11,00:00:33.960,00:00:35.800,850,896
12,00:00:35.840,00:00:38.560,897,965
13,00:00:38.600,00:00:41.440,966,1037
14,00:00:41.480,00:00:43.360,1038,1085
15,00:00:43.400,00:00:44.720,1086,1119
16,00:00:44.760,00:00:46.560,1120,1165
17,00:00:46.600,00:00:51.640,1166,1292
