No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.560,1,15
2,00:00:00.600,00:00:03.680,16,93
3,00:00:03.720,00:00:05.680,94,143
4,00:00:05.720,00:00:09.800,144,246
5,00:00:09.840,00:00:12.280,247,308
6,00:00:12.320,00:00:14.480,309,363
7,00:00:14.520,00:00:16.080,364,403
8,00:00:16.120,00:00:17.880,404,448
9,00:00:17.920,00:00:19.000,449,476
10,00:00:19.040,00:00:21.080,477,528
11,00:00:21.120,00:00:23.440,529,587
12,00:00:23.480,00:00:33.680,588,843
13,00:00:33.720,00:00:38.640,844,967
14,00:00:38.680,00:00:45.320,968,1134
15,00:00:45.360,00:00:48.280,1135,1208
16,00:00:48.320,00:00:52.120,1209,1304
17,00:00:52.160,00:00:53.720,1305,1344
18,00:00:53.760,00:00:56.280,1345,1408
19,00:00:56.320,00:00:58.320,1409,1459
20,00:00:58.360,00:01:02.320,1460,1559
21,00:01:02.360,00:01:05.640,1560,1642
22,00:01:05.680,00:01:08.600,1643,1716
23,00:01:08.640,00:01:13.160,1717,1830
24,00:01:13.200,00:01:18.280,1831,1958
25,00:01:18.320,00:01:19.400,1959,1986
26,00:01:19.440,00:01:20.680,1987,2018
27,00:01:20.720,00:01:22.320,2019,2059
28,00:01:22.360,00:01:24.040,2060,2102
29,00:01:24.080,00:01:25.640,2103,2142
30,00:01:25.680,00:01:26.800,2143,2171
31,00:01:26.840,00:01:29.440,2172,2237
32,00:01:29.480,00:01:36.960,2238,2425
33,00:01:37.000,00:01:40.080,2426,2503
34,00:01:40.120,00:01:42.160,2504,2555
35,00:01:42.200,00:01:44.440,2556,2612
36,00:01:44.480,00:01:50.520,2613,2764
37,00:01:50.560,00:01:51.720,2765,2794
38,00:01:51.760,00:01:53.760,2795,2845
39,00:01:53.800,00:01:58.640,2846,2967
40,00:01:58.680,00:02:01.840,2968,3047
41,00:02:01.880,00:02:12.400,3048,3311
42,00:02:12.440,00:02:15.320,3312,3384
43,00:02:15.360,00:02:17.960,3385,3450
44,00:02:18.000,00:02:24.240,3451,3607
45,00:02:24.280,00:02:28.640,3608,3717
46,00:02:28.680,00:02:30.120,3718,3754
47,00:02:30.160,00:02:31.440,3755,3787
48,00:02:31.480,00:02:32.920,3788,3824
49,00:02:32.960,00:02:34.400,3825,3861
50,00:02:34.440,00:02:36.560,3862,3915
51,00:02:36.600,00:02:41.000,3916,4026
52,00:02:41.040,00:02:47.280,4027,4183
53,00:02:47.320,00:02:51.240,4184,4282
54,00:02:51.280,00:02:53.480,4283,4338
55,00:02:53.520,00:02:56.920,4339,4424
56,00:02:56.960,00:03:00.680,4425,4518
57,00:03:00.720,00:03:02.880,4519,4573
58,00:03:02.920,00:03:07.400,4574,4686
