No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.360,1,35
2,00:00:01.400,00:00:06.680,36,168
3,00:00:06.720,00:00:11.320,169,284
4,00:00:11.360,00:00:14.560,285,365
5,00:00:14.600,00:00:18.600,366,466
6,00:00:18.640,00:00:21.720,467,544
7,00:00:21.760,00:00:25.360,545,635
8,00:00:25.400,00:00:28.200,636,706
9,00:00:28.240,00:00:36.720,707,919
10,00:00:36.760,00:00:43.680,920,1093
11,00:00:43.720,00:00:47.080,1094,1178
12,00:00:47.120,00:00:50.800,1179,1271
13,00:00:50.840,00:00:57.800,1272,1446
14,00:00:57.840,00:01:02.480,1447,1563
15,00:01:02.520,00:01:04.960,1564,1625
16,00:01:05.000,00:01:09.800,1626,1746
17,00:01:09.840,00:01:11.400,1747,1786
18,00:01:11.440,00:01:13.240,1787,1832
19,00:01:13.280,00:01:17.040,1833,1927
20,00:01:17.080,00:01:19.320,1928,1984
21,00:01:19.360,00:01:27.240,1985,2182
22,00:01:27.280,00:01:32.000,2183,2301
23,00:01:32.040,00:01:34.800,2302,2371
24,00:01:34.840,00:01:38.800,2372,2471
