No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.080,1,3
2,00:00:00.120,00:00:07.280,4,183
3,00:00:07.320,00:00:15.680,184,393
4,00:00:15.720,00:00:17.040,394,427
5,00:00:17.080,00:00:18.800,428,471
6,00:00:18.840,00:00:19.880,472,498
7,00:00:19.920,00:00:21.360,499,535
8,00:00:21.400,00:00:24.680,536,618
9,00:00:24.720,00:00:45.680,619,1143
10,00:00:45.720,00:00:48.520,1144,1214
11,00:00:48.560,00:00:50.400,1215,1261
12,00:00:50.440,00:00:51.560,1262,1290
13,00:00:51.600,00:00:55.560,1291,1390
