No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.000,1,1
2,00:00:00.040,00:00:03.240,2,82
3,00:00:03.280,00:00:05.080,83,128
4,00:00:05.120,00:00:07.080,129,178
5,00:00:07.120,00:00:08.200,179,206
6,00:00:08.240,00:00:10.200,207,256
7,00:00:10.240,00:00:11.640,257,292
8,00:00:11.680,00:00:13.360,293,335
9,00:00:13.400,00:00:14.120,336,354
10,00:00:14.160,00:00:17.440,355,437
11,00:00:17.480,00:00:19.160,438,480
12,00:00:19.200,00:00:25.840,481,647
13,00:00:25.880,00:00:27.600,648,691
14,00:00:27.640,00:00:31.280,692,783
15,00:00:31.320,00:00:34.760,784,870
16,00:00:34.800,00:00:36.320,871,909
17,00:00:36.360,00:00:37.680,910,943
18,00:00:37.720,00:00:39.400,944,986
19,00:00:39.440,00:00:41.400,987,1036
20,00:00:41.440,00:00:42.800,1037,1071
21,00:00:42.840,00:00:45.800,1072,1146
22,00:00:45.840,00:00:46.920,1147,1174
23,00:00:46.960,00:00:48.840,1175,1222
24,00:00:48.880,00:00:50.760,1223,1270
25,00:00:50.800,00:00:54.840,1271,1372
26,00:00:54.880,00:00:56.440,1373,1412
27,00:00:56.480,00:00:58.080,1413,1453
28,00:00:58.120,00:00:59.840,1454,1497
29,00:00:59.880,00:01:01.240,1498,1532
30,00:01:01.280,00:01:02.560,1533,1565
31,00:01:02.600,00:01:03.240,1566,1582
32,00:01:03.280,00:01:04.360,1583,1610
33,00:01:04.400,00:01:05.560,1611,1640
34,00:01:05.600,00:01:06.720,1641,1669
35,00:01:06.760,00:01:08.280,1670,1708
36,00:01:08.320,00:01:09.400,1709,1736
37,00:01:09.440,00:01:10.960,1737,1775
38,00:01:11.000,00:01:11.680,1776,1793
39,00:01:11.720,00:01:12.320,1794,1809
40,00:01:12.360,00:01:14.680,1810,1868
41,00:01:14.720,00:01:16.240,1869,1907
42,00:01:16.280,00:01:19.440,1908,1987
43,00:01:19.480,00:01:21.880,1988,2048
44,00:01:21.920,00:01:24.160,2049,2105
45,00:01:24.200,00:01:26.440,2106,2162
46,00:01:26.480,00:01:27.840,2163,2197
47,00:01:27.880,00:01:29.240,2198,2232
48,00:01:29.280,00:01:30.960,2233,2275
49,00:01:31.000,00:01:32.440,2276,2312
50,00:01:32.480,00:01:38.040,2313,2452
51,00:01:38.080,00:01:50.480,2453,2763
52,00:01:50.520,00:01:53.800,2764,2846
53,00:01:53.840,00:01:58.200,2847,2956
54,00:01:58.240,00:02:01.120,2957,3029
55,00:02:01.160,00:02:02.360,3030,3060
56,00:02:02.400,00:02:04.080,3061,3103
57,00:02:04.120,00:02:05.800,3104,3146
58,00:02:05.840,00:02:11.280,3147,3283
59,00:02:11.320,00:02:15.800,3284,3396
60,00:02:15.840,00:02:20.320,3397,3509
61,00:02:20.360,00:02:23.080,3510,3578
62,00:02:23.120,00:02:26.640,3579,3667
63,00:02:26.680,00:02:28.960,3668,3725
64,00:02:29.000,00:02:31.360,3726,3785
65,00:02:31.400,00:02:33.080,3786,3828
66,00:02:33.120,00:02:34.080,3829,3853
67,00:02:34.120,00:02:36.320,3854,3909
68,00:02:36.360,00:02:38.640,3910,3967
69,00:02:38.680,00:02:40.360,3968,4010
70,00:02:40.400,00:02:43.240,4011,4082
71,00:02:43.280,00:02:45.560,4083,4140
72,00:02:45.600,00:02:47.560,4141,4190
73,00:02:47.600,00:02:49.080,4191,4228
74,00:02:49.120,00:02:50.880,4229,4273
75,00:02:50.920,00:02:53.800,4274,4346
76,00:02:53.840,00:02:55.400,4347,4386
77,00:02:55.440,00:02:58.040,4387,4452
78,00:02:58.080,00:03:00.240,4453,4507
79,00:03:00.280,00:03:01.760,4508,4545
80,00:03:01.800,00:03:03.600,4546,4591
81,00:03:03.640,00:03:04.920,4592,4624
