No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.600,1,41
2,00:00:01.640,00:00:03.240,42,82
3,00:00:03.280,00:00:05.280,83,133
4,00:00:05.320,00:00:08.120,134,204
5,00:00:08.160,00:00:14.840,205,372
6,00:00:14.880,00:00:16.920,373,424
7,00:00:16.960,00:00:18.520,425,464
8,00:00:18.560,00:00:20.000,465,501
9,00:00:20.040,00:00:24.080,502,603
10,00:00:24.120,00:00:25.000,604,626
11,00:00:25.040,00:00:26.240,627,657
12,00:00:26.280,00:00:27.200,658,681
13,00:00:27.240,00:00:29.640,682,742
14,00:00:29.680,00:00:32.120,743,804
15,00:00:32.160,00:00:39.360,805,985
16,00:00:39.400,00:00:44.200,986,1106
17,00:00:44.240,00:00:46.000,1107,1151
18,00:00:46.040,00:00:47.760,1152,1195
19,00:00:47.800,00:00:50.600,1196,1266
20,00:00:50.640,00:00:52.400,1267,1311
21,00:00:52.440,00:00:54.680,1312,1368
22,00:00:54.720,00:00:54.720,1369,1369
23,00:00:54.760,00:00:57.760,1370,1445
24,00:00:57.800,00:01:01.000,1446,1526
25,00:01:01.040,00:01:02.280,1527,1558
26,00:01:02.320,00:01:05.280,1559,1633
27,00:01:05.320,00:01:10.200,1634,1756
28,00:01:10.240,00:01:13.240,1757,1832
29,00:01:13.280,00:01:17.800,1833,1946
30,00:01:17.840,00:01:19.440,1947,1987
31,00:01:19.480,00:01:22.000,1988,2051
32,00:01:22.040,00:01:25.040,2052,2127
