No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.040,1,127
2,00:00:05.080,00:00:06.960,128,175
3,00:00:07.000,00:00:15.080,176,378
4,00:00:15.120,00:00:25.560,379,640
5,00:00:25.600,00:00:28.320,641,709
6,00:00:28.360,00:00:30.280,710,758
7,00:00:30.320,00:00:37.520,759,939
8,00:00:37.560,00:00:42.640,940,1067
9,00:00:42.680,00:00:46.800,1068,1171
10,00:00:46.840,00:00:48.240,1172,1207
11,00:00:48.280,00:00:53.440,1208,1337
12,00:00:53.480,00:00:54.880,1338,1373
13,00:00:54.920,00:01:10.000,1374,1751
14,00:01:10.040,00:01:13.400,1752,1836
15,00:01:13.440,00:01:16.360,1837,1910
16,00:01:16.400,00:01:19.320,1911,1984
17,00:01:19.360,00:01:21.360,1985,2035
18,00:01:21.400,00:01:23.640,2036,2092
19,00:01:23.680,00:01:25.600,2093,2141
20,00:01:25.640,00:01:28.520,2142,2214
21,00:01:28.560,00:01:30.320,2215,2259
22,00:01:30.360,00:01:31.760,2260,2295
23,00:01:31.800,00:01:33.280,2296,2333
24,00:01:33.320,00:01:35.240,2334,2382
25,00:01:35.280,00:01:37.120,2383,2429
26,00:01:37.160,00:01:39.320,2430,2484
27,00:01:39.360,00:01:42.040,2485,2552
28,00:01:42.080,00:01:45.040,2553,2627
