No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.520,1,89
2,00:00:03.560,00:00:06.520,90,164
3,00:00:06.560,00:00:08.160,165,205
4,00:00:08.200,00:00:11.240,206,282
5,00:00:11.280,00:00:13.360,283,335
6,00:00:13.400,00:00:15.160,336,380
7,00:00:15.200,00:00:17.840,381,447
8,00:00:17.880,00:00:21.520,448,539
9,00:00:21.560,00:00:26.200,540,656
10,00:00:26.240,00:00:28.880,657,723
11,00:00:28.920,00:00:32.080,724,803
12,00:00:32.120,00:00:36.640,804,917
13,00:00:36.680,00:00:38.640,918,967
14,00:00:38.680,00:00:41.560,968,1040
15,00:00:41.600,00:00:42.840,1041,1072
16,00:00:42.880,00:00:48.160,1073,1205
17,00:00:48.200,00:00:51.200,1206,1281
18,00:00:51.240,00:00:55.280,1282,1383
19,00:00:55.320,00:00:58.160,1384,1455
20,00:00:58.200,00:01:00.240,1456,1507
21,00:01:00.280,00:01:02.280,1508,1558
22,00:01:02.320,00:01:03.520,1559,1589
23,00:01:03.560,00:01:06.000,1590,1651
24,00:01:06.040,00:01:09.960,1652,1750
25,00:01:10.000,00:01:11.240,1751,1782
26,00:01:11.280,00:01:13.120,1783,1829
27,00:01:13.160,00:01:14.800,1830,1871
28,00:01:14.840,00:01:16.720,1872,1919
29,00:01:16.760,00:01:18.440,1920,1962
30,00:01:18.480,00:01:22.400,1963,2061
31,00:01:22.440,00:01:24.040,2062,2102
32,00:01:24.080,00:01:25.800,2103,2146
33,00:01:25.840,00:01:26.680,2147,2168
34,00:01:26.720,00:01:29.280,2169,2233
35,00:01:29.320,00:01:38.840,2234,2472
36,00:01:38.880,00:01:47.440,2473,2687
37,00:01:47.480,00:02:49.960,2688,4250
