No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.960,1,50
2,00:00:02.000,00:00:05.880,51,148
3,00:00:05.920,00:00:08.920,149,224
4,00:00:08.960,00:00:12.240,225,307
5,00:00:12.280,00:00:16.200,308,406
6,00:00:16.240,00:00:21.520,407,539
7,00:00:21.560,00:00:27.800,540,696
8,00:00:27.840,00:00:30.320,697,759
9,00:00:30.360,00:00:33.440,760,837
10,00:00:33.480,00:00:37.840,838,947
11,00:00:37.880,00:00:40.760,948,1020
12,00:00:40.800,00:00:43.800,1021,1096
13,00:00:43.840,00:00:47.400,1097,1186
14,00:00:47.440,00:00:53.000,1187,1326
15,00:00:53.040,00:00:59.000,1327,1476
16,00:00:59.040,00:01:12.280,1477,1808
17,00:01:12.320,00:01:16.960,1809,1925
18,00:01:17.000,00:01:21.160,1926,2030
19,00:01:21.200,00:01:24.120,2031,2104
20,00:01:24.160,00:01:28.160,2105,2205
21,00:01:28.200,00:01:30.120,2206,2254
22,00:01:30.160,00:01:33.240,2255,2332
23,00:01:33.280,00:01:45.720,2333,2644
24,00:01:45.760,00:01:49.320,2645,2734
25,00:01:49.360,00:01:51.080,2735,2778
26,00:01:51.120,00:01:53.080,2779,2828
27,00:01:53.120,00:01:54.920,2829,2874
28,00:01:54.960,00:01:58.200,2875,2956
29,00:01:58.240,00:02:02.440,2957,3062
30,00:02:02.480,00:02:06.160,3063,3155
31,00:02:06.200,00:02:12.640,3156,3317
32,00:02:12.680,00:02:15.400,3318,3386
33,00:02:15.440,00:02:17.000,3387,3426
34,00:02:17.040,00:02:21.200,3427,3531
35,00:02:21.240,00:02:26.000,3532,3651
36,00:02:26.040,00:02:30.800,3652,3771
37,00:02:30.840,00:02:40.960,3772,4025
38,00:02:41.000,00:02:43.000,4026,4076
39,00:02:43.040,00:02:46.400,4077,4161
40,00:02:46.440,00:02:50.160,4162,4255
41,00:02:50.200,00:02:52.840,4256,4322
42,00:02:52.880,00:02:56.320,4323,4409
43,00:02:56.360,00:02:56.360,4410,4410
44,00:02:56.400,00:02:57.080,4411,4428
