No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.640,1,17
2,00:00:00.680,00:00:01.880,18,48
3,00:00:01.920,00:00:04.280,49,108
4,00:00:04.320,00:00:05.800,109,146
5,00:00:05.840,00:00:08.000,147,201
6,00:00:08.040,00:00:10.360,202,260
7,00:00:10.400,00:00:12.040,261,302
8,00:00:12.080,00:00:14.840,303,372
9,00:00:14.880,00:00:16.800,373,421
10,00:00:16.840,00:00:17.840,422,447
11,00:00:17.880,00:00:18.600,448,466
12,00:00:18.640,00:00:19.560,467,490
13,00:00:19.600,00:00:20.400,491,511
14,00:00:20.440,00:00:21.400,512,536
15,00:00:21.440,00:00:23.000,537,576
16,00:00:23.040,00:00:24.080,577,603
17,00:00:24.120,00:00:25.520,604,639
18,00:00:25.560,00:00:26.480,640,663
19,00:00:26.520,00:00:27.320,664,684
20,00:00:27.360,00:00:29.360,685,735
21,00:00:29.400,00:00:30.320,736,759
22,00:00:30.360,00:00:32.520,760,814
23,00:00:32.560,00:00:35.440,815,887
24,00:00:35.480,00:00:36.200,888,906
25,00:00:36.240,00:00:37.080,907,928
26,00:00:37.120,00:00:37.960,929,950
27,00:00:38.000,00:00:38.600,951,966
28,00:00:38.640,00:00:40.200,967,1006
29,00:00:40.240,00:00:42.600,1007,1066
30,00:00:42.640,00:00:45.520,1067,1139
31,00:00:45.560,00:00:48.560,1140,1215
32,00:00:48.600,00:00:49.400,1216,1236
33,00:00:49.440,00:00:50.560,1237,1265
34,00:00:50.600,00:00:51.400,1266,1286
35,00:00:51.440,00:00:52.920,1287,1324
36,00:00:52.960,00:00:54.320,1325,1359
37,00:00:54.360,00:00:55.680,1360,1393
38,00:00:55.720,00:00:56.800,1394,1421
39,00:00:56.840,00:00:57.840,1422,1447
40,00:00:57.880,00:00:59.640,1448,1492
41,00:00:59.680,00:01:02.560,1493,1565
42,00:01:02.600,00:01:04.360,1566,1610
43,00:01:04.400,00:01:05.720,1611,1644
44,00:01:05.760,00:01:06.800,1645,1671
45,00:01:06.840,00:01:08.920,1672,1724
46,00:01:08.960,00:01:10.680,1725,1768
