No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.600,1,66
2,00:00:02.640,00:00:04.120,67,104
3,00:00:04.160,00:00:07.760,105,195
4,00:00:07.800,00:00:11.040,196,277
5,00:00:11.080,00:00:14.320,278,359
6,00:00:14.360,00:00:15.800,360,396
7,00:00:15.840,00:00:17.960,397,450
8,00:00:18.000,00:00:20.440,451,512
9,00:00:20.480,00:00:22.360,513,560
10,00:00:22.400,00:00:23.960,561,600
11,00:00:24.000,00:00:25.320,601,634
12,00:00:25.360,00:00:26.160,635,655
13,00:00:26.200,00:00:28.760,656,720
14,00:00:28.800,00:00:29.600,721,741
15,00:00:29.640,00:00:31.640,742,792
16,00:00:31.680,00:00:33.240,793,832
17,00:00:33.280,00:00:36.880,833,923
18,00:00:36.920,00:00:39.240,924,982
19,00:00:39.280,00:00:40.320,983,1009
20,00:00:40.360,00:00:42.360,1010,1060
21,00:00:42.400,00:00:43.800,1061,1096
22,00:00:43.840,00:00:44.880,1097,1123
23,00:00:44.920,00:00:47.960,1124,1200
24,00:00:48.000,00:00:48.960,1201,1225
25,00:00:49.000,00:00:50.280,1226,1258
26,00:00:50.320,00:00:52.320,1259,1309
27,00:00:52.360,00:00:53.880,1310,1348
28,00:00:53.920,00:00:55.960,1349,1400
29,00:00:56.000,00:00:57.520,1401,1439
30,00:00:57.560,00:00:58.920,1440,1474
31,00:00:58.960,00:01:00.400,1475,1511
32,00:01:00.440,00:01:02.280,1512,1558
33,00:01:02.320,00:01:03.920,1559,1599
34,00:01:03.960,00:01:05.920,1600,1649
35,00:01:05.960,00:01:07.880,1650,1698
36,00:01:07.920,00:01:09.640,1699,1742
37,00:01:09.680,00:01:11.320,1743,1784
38,00:01:11.360,00:01:11.560,1785,1790
39,00:01:11.600,00:01:14.200,1791,1856
40,00:01:14.240,00:01:16.720,1857,1919
41,00:01:16.760,00:01:20.920,1920,2024
42,00:01:20.960,00:01:22.520,2025,2064
43,00:01:22.560,00:01:25.560,2065,2140
