No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.080,1,103
2,00:00:04.120,00:00:05.880,104,148
3,00:00:05.920,00:00:08.120,149,204
4,00:00:08.160,00:00:15.640,205,392
5,00:00:15.680,00:00:19.040,393,477
6,00:00:19.080,00:00:21.160,478,530
7,00:00:21.200,00:00:24.480,531,613
8,00:00:24.520,00:00:31.480,614,788
9,00:00:31.520,00:00:32.840,789,822
10,00:00:32.880,00:00:36.720,823,919
11,00:00:36.760,00:00:46.120,920,1154
12,00:00:46.160,00:00:50.840,1155,1272
13,00:00:50.880,00:00:54.560,1273,1365
14,00:00:54.600,00:00:58.440,1366,1462
15,00:00:58.480,00:01:03.400,1463,1586
16,00:01:03.440,00:01:05.080,1587,1628
17,00:01:05.120,00:01:06.680,1629,1668
18,00:01:06.720,00:01:10.680,1669,1768
19,00:01:10.720,00:01:12.880,1769,1823
20,00:01:12.920,00:01:15.800,1824,1896
