No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.520,1,64
2,00:00:02.560,00:00:04.400,65,111
3,00:00:04.440,00:00:06.280,112,158
4,00:00:06.320,00:00:09.080,159,228
5,00:00:09.120,00:00:12.320,229,309
6,00:00:12.360,00:00:16.080,310,403
7,00:00:16.120,00:00:18.000,404,451
8,00:00:18.040,00:00:28.600,452,716
9,00:00:28.640,00:00:29.720,717,744
10,00:00:29.760,00:00:35.960,745,900
11,00:00:36.000,00:00:39.960,901,1000
12,00:00:40.000,00:00:42.640,1001,1067
13,00:00:42.680,00:00:48.400,1068,1211
14,00:00:48.440,00:00:51.000,1212,1276
15,00:00:51.040,00:01:02.200,1277,1556
16,00:01:02.240,00:01:06.280,1557,1658
17,00:01:06.320,00:01:09.400,1659,1736
18,00:01:09.440,00:01:11.520,1737,1789
19,00:01:11.560,00:01:14.600,1790,1866
20,00:01:14.640,00:01:19.000,1867,1976
21,00:01:19.040,00:01:23.040,1977,2077
22,00:01:23.080,00:01:25.040,2078,2127
23,00:01:25.080,00:01:26.440,2128,2162
24,00:01:26.480,00:01:27.520,2163,2189
