No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:36.000,1,901
2,00:00:36.040,00:00:38.920,902,974
3,00:00:38.960,00:00:44.960,975,1125
4,00:00:45.000,00:00:48.560,1126,1215
5,00:00:48.600,00:00:49.520,1216,1239
6,00:00:49.560,00:00:55.720,1240,1394
7,00:00:55.760,00:00:57.240,1395,1432
8,00:00:57.280,00:01:02.480,1433,1563
9,00:01:02.520,00:01:04.320,1564,1609
10,00:01:04.360,00:01:06.760,1610,1670
11,00:01:06.800,00:01:07.640,1671,1692
12,00:01:07.680,00:01:17.240,1693,1932
13,00:01:17.280,00:01:19.680,1933,1993
14,00:01:19.720,00:01:20.720,1994,2019
15,00:01:20.760,00:01:22.720,2020,2069
16,00:01:22.760,00:01:24.480,2070,2113
17,00:01:24.520,00:01:25.680,2114,2143
18,00:01:25.720,00:01:29.080,2144,2228
19,00:01:29.120,00:01:31.040,2229,2277
20,00:01:31.080,00:01:35.320,2278,2384
21,00:01:35.360,00:01:36.800,2385,2421
22,00:01:36.840,00:01:40.480,2422,2513
23,00:01:40.520,00:01:43.680,2514,2593
24,00:01:43.720,00:01:47.080,2594,2678
25,00:01:47.120,00:01:49.360,2679,2735
26,00:01:49.400,00:01:50.800,2736,2771
27,00:01:50.840,00:02:18.000,2772,3451
28,00:02:18.040,00:02:27.200,3452,3681
29,00:02:27.240,00:02:31.520,3682,3789
30,00:02:31.560,00:02:41.280,3790,4033
31,00:02:41.320,00:02:42.400,4034,4061
32,00:02:42.440,00:02:45.160,4062,4130
33,00:02:45.200,00:02:47.640,4131,4192
34,00:02:47.680,00:03:13.600,4193,4841
35,00:03:13.640,00:03:15.640,4842,4892
36,00:03:15.680,00:03:20.320,4893,5009
37,00:03:20.360,00:03:22.600,5010,5066
38,00:03:22.640,00:03:25.880,5067,5148
39,00:03:25.920,00:03:26.840,5149,5172
40,00:03:26.880,00:03:27.360,5173,5185
