No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.720,1,44
2,00:00:01.760,00:00:03.120,45,79
3,00:00:03.160,00:00:05.800,80,146
4,00:00:05.840,00:00:10.680,147,268
5,00:00:10.720,00:00:13.120,269,329
6,00:00:13.160,00:00:16.880,330,423
7,00:00:16.920,00:00:18.400,424,461
8,00:00:18.440,00:00:26.320,462,659
9,00:00:26.360,00:00:28.640,660,717
10,00:00:28.680,00:00:35.680,718,893
11,00:00:35.720,00:00:41.960,894,1050
12,00:00:42.000,00:00:50.880,1051,1273
13,00:00:50.920,00:00:54.960,1274,1375
14,00:00:55.000,00:00:58.000,1376,1451
15,00:00:58.040,00:01:02.040,1452,1552
16,00:01:02.080,00:01:04.680,1553,1618
17,00:01:04.720,00:01:09.080,1619,1728
18,00:01:09.120,00:01:32.560,1729,2315
19,00:01:32.600,00:01:34.440,2316,2362
20,00:01:34.480,00:01:36.080,2363,2403
21,00:01:36.120,00:01:37.960,2404,2450
22,00:01:38.000,00:01:39.280,2451,2483
23,00:01:39.320,00:01:40.480,2484,2513
24,00:01:40.520,00:01:41.880,2514,2548
25,00:01:41.920,00:01:43.120,2549,2579
26,00:01:43.160,00:01:44.920,2580,2624
27,00:01:44.960,00:01:45.960,2625,2650
28,00:01:46.000,00:01:47.000,2651,2676
29,00:01:47.040,00:01:47.880,2677,2698
30,00:01:47.920,00:01:48.880,2699,2723
31,00:01:48.920,00:01:51.760,2724,2795
32,00:01:51.800,00:01:57.000,2796,2926
33,00:01:57.040,00:01:59.480,2927,2988
34,00:01:59.520,00:02:02.000,2989,3051
35,00:02:02.040,00:02:04.640,3052,3117
36,00:02:04.680,00:02:12.720,3118,3319
37,00:02:12.760,00:02:15.200,3320,3381
38,00:02:15.240,00:02:20.840,3382,3522
39,00:02:20.880,00:02:23.360,3523,3585
40,00:02:23.400,00:02:31.840,3586,3797
41,00:02:31.880,00:02:33.560,3798,3840
42,00:02:33.600,00:02:36.520,3841,3914
43,00:02:36.560,00:02:37.760,3915,3945
44,00:02:37.800,00:02:39.320,3946,3984
45,00:02:39.360,00:02:40.520,3985,4014
46,00:02:40.560,00:02:42.080,4015,4053
47,00:02:42.120,00:02:44.160,4054,4105
48,00:02:44.200,00:02:45.680,4106,4143
49,00:02:45.720,00:02:51.800,4144,4296
50,00:02:51.840,00:02:54.680,4297,4368
51,00:02:54.720,00:02:56.680,4369,4418
52,00:02:56.720,00:03:00.240,4419,4507
53,00:03:00.280,00:03:02.520,4508,4564
