No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:16.760,1,420
2,00:00:16.800,00:00:17.960,421,450
3,00:00:18.000,00:00:27.600,451,691
4,00:00:27.640,00:00:31.080,692,778
5,00:00:31.120,00:00:33.960,779,850
6,00:00:34.000,00:00:37.800,851,946
7,00:00:37.840,00:00:51.160,947,1280
8,00:00:51.200,00:00:53.680,1281,1343
9,00:00:53.720,00:00:55.400,1344,1386
10,00:00:55.440,00:01:01.200,1387,1531
11,00:01:01.240,00:01:04.200,1532,1606
12,00:01:04.240,00:01:06.680,1607,1668
13,00:01:06.720,00:01:08.960,1669,1725
14,00:01:09.000,00:01:10.320,1726,1759
15,00:01:10.360,00:01:11.760,1760,1795
16,00:01:11.800,00:01:14.080,1796,1853
17,00:01:14.120,00:01:45.080,1854,2628
18,00:01:45.120,00:01:47.880,2629,2698
19,00:01:47.920,00:01:50.320,2699,2759
20,00:01:50.360,00:01:56.640,2760,2917
21,00:01:56.680,00:01:59.840,2918,2997
22,00:01:59.880,00:02:04.480,2998,3113
23,00:02:04.520,00:02:08.120,3114,3204
24,00:02:08.160,00:02:10.840,3205,3272
25,00:02:10.880,00:02:14.120,3273,3354
26,00:02:14.160,00:02:16.560,3355,3415
27,00:02:16.600,00:02:20.000,3416,3501
28,00:02:20.040,00:02:45.640,3502,4142
29,00:02:45.680,00:02:51.760,4143,4295
30,00:02:51.800,00:02:57.720,4296,4444
31,00:02:57.760,00:03:00.160,4445,4505
32,00:03:00.200,00:03:07.920,4506,4699
