No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:11.320,1,284
2,00:00:11.360,00:00:13.120,285,329
3,00:00:13.160,00:00:15.960,330,400
4,00:00:16.000,00:00:26.120,401,654
5,00:00:26.160,00:00:27.960,655,700
6,00:00:28.000,00:00:33.200,701,831
7,00:00:33.240,00:00:38.160,832,955
8,00:00:38.200,00:00:40.080,956,1003
9,00:00:40.120,00:00:42.400,1004,1061
10,00:00:42.440,00:00:44.760,1062,1120
11,00:00:44.800,00:00:49.000,1121,1226
12,00:00:49.040,00:00:53.280,1227,1333
13,00:00:53.320,00:01:10.320,1334,1759
14,00:01:10.360,00:01:12.520,1760,1814
15,00:01:12.560,00:01:29.440,1815,2237
16,00:01:29.480,00:01:32.600,2238,2316
17,00:01:32.640,00:01:34.560,2317,2365
18,00:01:34.600,00:01:40.320,2366,2509
19,00:01:40.360,00:02:09.440,2510,3237
20,00:02:09.480,00:02:11.600,3238,3291
21,00:02:11.640,00:02:15.880,3292,3398
22,00:02:15.920,00:02:19.240,3399,3482
23,00:02:19.280,00:02:22.000,3483,3551
24,00:02:22.040,00:02:23.960,3552,3600
25,00:02:24.000,00:02:35.680,3601,3893
26,00:02:35.720,00:02:37.520,3894,3939
27,00:02:37.560,00:02:38.560,3940,3965
28,00:02:38.600,00:02:39.520,3966,3989
29,00:02:39.560,00:02:45.680,3990,4143
30,00:02:45.720,00:02:47.280,4144,4183
31,00:02:47.320,00:02:51.520,4184,4289
32,00:02:51.560,00:02:52.880,4290,4323
33,00:02:52.920,00:02:55.720,4324,4394
34,00:02:55.760,00:02:59.280,4395,4483
35,00:02:59.320,00:03:01.800,4484,4546
36,00:03:01.840,00:03:02.600,4547,4566
37,00:03:02.640,00:03:03.240,4567,4582
