No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:09.760,1,245
2,00:00:09.800,00:00:12.880,246,323
3,00:00:12.920,00:00:16.760,324,420
4,00:00:16.800,00:00:18.960,421,475
5,00:00:19.000,00:00:20.960,476,525
6,00:00:21.000,00:00:28.040,526,702
7,00:00:28.080,00:00:31.080,703,778
8,00:00:31.120,00:00:34.040,779,852
9,00:00:34.080,00:00:40.000,853,1001
10,00:00:40.040,00:00:53.480,1002,1338
11,00:00:53.520,00:00:55.200,1339,1381
12,00:00:55.240,00:00:57.160,1382,1430
13,00:00:57.200,00:00:58.360,1431,1460
14,00:00:58.400,00:00:59.960,1461,1500
15,00:01:00.000,00:01:01.640,1501,1542
16,00:01:01.680,00:01:03.160,1543,1580
17,00:01:03.200,00:01:05.480,1581,1638
18,00:01:05.520,00:01:07.000,1639,1676
19,00:01:07.040,00:01:07.920,1677,1699
20,00:01:07.960,00:01:08.800,1700,1721
21,00:01:08.840,00:01:10.480,1722,1763
22,00:01:10.520,00:01:11.800,1764,1796
23,00:01:11.840,00:01:13.120,1797,1829
24,00:01:13.160,00:01:14.760,1830,1870
25,00:01:14.800,00:01:16.000,1871,1901
26,00:01:16.040,00:01:17.000,1902,1926
27,00:01:17.040,00:01:20.880,1927,2023
28,00:01:20.920,00:01:22.920,2024,2074
29,00:01:22.960,00:01:26.680,2075,2168
30,00:01:26.720,00:01:35.720,2169,2394
31,00:01:35.760,00:01:52.920,2395,2824
32,00:01:52.960,00:01:57.040,2825,2927
33,00:01:57.080,00:01:59.480,2928,2988
34,00:01:59.520,00:02:01.280,2989,3033
35,00:02:01.320,00:02:04.280,3034,3108
36,00:02:04.320,00:02:07.120,3109,3179
37,00:02:07.160,00:02:09.040,3180,3227
38,00:02:09.080,00:02:17.440,3228,3437
39,00:02:17.480,00:02:19.480,3438,3488
40,00:02:19.520,00:02:39.160,3489,3980
41,00:02:39.200,00:02:41.640,3981,4042
42,00:02:41.680,00:02:43.960,4043,4100
43,00:02:44.000,00:02:54.160,4101,4355
44,00:02:54.200,00:02:57.160,4356,4430
45,00:02:57.200,00:03:01.000,4431,4526
46,00:03:01.040,00:03:02.800,4527,4571
47,00:03:02.840,00:03:14.160,4572,4855
48,00:03:14.200,00:03:15.400,4856,4886
