No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:06.960,1,175
2,00:00:07.000,00:00:14.240,176,357
3,00:00:14.280,00:00:16.520,358,414
4,00:00:16.560,00:00:26.320,415,659
5,00:00:26.360,00:00:28.040,660,702
6,00:00:28.080,00:00:33.880,703,848
7,00:00:33.920,00:00:35.920,849,899
8,00:00:35.960,00:00:37.960,900,950
9,00:00:38.000,00:00:39.080,951,978
10,00:00:39.120,00:00:43.280,979,1083
11,00:00:43.320,00:00:58.640,1084,1467
12,00:00:58.680,00:01:01.720,1468,1544
13,00:01:01.760,00:01:06.440,1545,1662
14,00:01:06.480,00:01:09.800,1663,1746
15,00:01:09.840,00:01:11.080,1747,1778
16,00:01:11.120,00:01:13.280,1779,1833
17,00:01:13.320,00:01:14.920,1834,1874
18,00:01:14.960,00:01:16.640,1875,1917
19,00:01:16.680,00:01:18.080,1918,1953
20,00:01:18.120,00:01:21.360,1954,2035
21,00:01:21.400,00:01:25.840,2036,2147
22,00:01:25.880,00:01:30.000,2148,2251
23,00:01:30.040,00:01:32.880,2252,2323
24,00:01:32.920,00:01:44.640,2324,2617
25,00:01:44.680,00:01:46.920,2618,2674
26,00:01:46.960,00:01:50.400,2675,2761
27,00:01:50.440,00:01:52.960,2762,2825
28,00:01:53.000,00:02:00.280,2826,3008
29,00:02:00.320,00:02:04.480,3009,3113
30,00:02:04.520,00:02:07.600,3114,3191
31,00:02:07.640,00:02:09.360,3192,3235
32,00:02:09.400,00:02:12.520,3236,3314
33,00:02:12.560,00:02:13.880,3315,3348
34,00:02:13.920,00:02:20.520,3349,3514
35,00:02:20.560,00:02:23.680,3515,3593
36,00:02:23.720,00:02:26.080,3594,3653
37,00:02:26.120,00:02:29.080,3654,3728
38,00:02:29.120,00:02:36.480,3729,3913
39,00:02:36.520,00:02:38.200,3914,3956
40,00:02:38.240,00:02:41.600,3957,4041
41,00:02:41.640,00:02:46.320,4042,4159
42,00:02:46.360,00:02:50.640,4160,4267
43,00:02:50.680,00:02:52.000,4268,4301
44,00:02:52.040,00:02:53.280,4302,4333
45,00:02:53.320,00:02:54.200,4334,4356
46,00:02:54.240,00:02:55.760,4357,4395
47,00:02:55.800,00:02:59.520,4396,4489
48,00:02:59.560,00:03:01.280,4490,4533
49,00:03:01.320,00:03:04.440,4534,4612
50,00:03:04.480,00:03:06.560,4613,4665
51,00:03:06.600,00:03:07.840,4666,4697
52,00:03:07.880,00:03:09.480,4698,4738
53,00:03:09.520,00:03:09.840,4739,4747
