No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.920,1,24
2,00:00:00.960,00:00:02.280,25,58
3,00:00:02.320,00:00:05.120,59,129
4,00:00:05.160,00:00:08.680,130,218
5,00:00:08.720,00:00:11.200,219,281
6,00:00:11.240,00:00:12.000,282,301
7,00:00:12.040,00:00:18.760,302,470
8,00:00:18.800,00:00:25.440,471,637
9,00:00:25.480,00:00:31.520,638,789
10,00:00:31.560,00:00:33.720,790,844
11,00:00:33.760,00:00:38.720,845,969
12,00:00:38.760,00:00:40.960,970,1025
13,00:00:41.000,00:00:43.800,1026,1096
14,00:00:43.840,00:00:45.640,1097,1142
15,00:00:45.680,00:00:53.560,1143,1340
16,00:00:53.600,00:00:54.560,1341,1365
17,00:00:54.600,00:00:59.640,1366,1492
18,00:00:59.680,00:01:08.320,1493,1709
19,00:01:08.360,00:01:11.400,1710,1786
20,00:01:11.440,00:01:14.160,1787,1855
21,00:01:14.200,00:01:17.400,1856,1936
22,00:01:17.440,00:01:23.920,1937,2099
23,00:01:23.960,00:01:27.360,2100,2185
24,00:01:27.400,00:01:32.080,2186,2303
25,00:01:32.120,00:01:34.080,2304,2353
26,00:01:34.120,00:01:35.160,2354,2380
27,00:01:35.200,00:01:38.840,2381,2472
28,00:01:38.880,00:01:41.160,2473,2530
29,00:01:41.200,00:01:42.720,2531,2569
30,00:01:42.760,00:01:45.760,2570,2645
31,00:01:45.800,00:01:56.800,2646,2921
32,00:01:56.840,00:01:59.400,2922,2986
33,00:01:59.440,00:02:03.840,2987,3097
34,00:02:03.880,00:02:08.520,3098,3214
35,00:02:08.560,00:02:12.560,3215,3315
36,00:02:12.600,00:02:14.800,3316,3371
37,00:02:14.840,00:02:19.400,3372,3486
38,00:02:19.440,00:02:51.120,3487,4279
39,00:02:51.160,00:02:58.240,4280,4457
40,00:02:58.280,00:03:00.840,4458,4522
41,00:03:00.880,00:03:03.600,4523,4591
42,00:03:03.640,00:03:05.920,4592,4649
43,00:03:05.960,00:03:10.400,4650,4761
44,00:03:10.440,00:03:17.960,4762,4950
45,00:03:18.000,00:03:20.280,4951,5008
46,00:03:20.320,00:03:24.240,5009,5107
