No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.480,1,113
2,00:00:04.520,00:00:08.800,114,221
3,00:00:08.840,00:00:11.000,222,276
4,00:00:11.040,00:00:14.440,277,362
5,00:00:14.480,00:00:16.800,363,421
6,00:00:16.840,00:00:18.760,422,470
7,00:00:18.800,00:00:22.680,471,568
8,00:00:22.720,00:00:24.920,569,624
9,00:00:24.960,00:00:26.160,625,655
10,00:00:26.200,00:00:29.120,656,729
11,00:00:29.160,00:00:31.080,730,778
12,00:00:31.120,00:00:33.320,779,834
13,00:00:33.360,00:00:34.880,835,873
14,00:00:34.920,00:00:44.400,874,1111
15,00:00:44.440,00:00:47.480,1112,1188
16,00:00:47.520,00:00:51.120,1189,1279
17,00:00:51.160,00:00:55.200,1280,1381
18,00:00:55.240,00:00:58.160,1382,1455
19,00:00:58.200,00:01:01.160,1456,1530
20,00:01:01.200,00:01:07.760,1531,1695
21,00:01:07.800,00:01:23.440,1696,2087
22,00:01:23.480,00:01:28.520,2088,2214
23,00:01:28.560,00:01:35.280,2215,2383
24,00:01:35.320,00:01:37.280,2384,2433
25,00:01:37.320,00:01:41.160,2434,2530
26,00:01:41.200,00:01:45.320,2531,2634
