No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.600,1,41
2,00:00:01.640,00:00:05.680,42,143
3,00:00:05.720,00:00:08.280,144,208
4,00:00:08.320,00:00:11.200,209,281
5,00:00:11.240,00:00:14.040,282,352
6,00:00:14.080,00:00:18.120,353,454
7,00:00:18.160,00:00:24.040,455,602
8,00:00:24.080,00:00:31.000,603,776
9,00:00:31.040,00:00:33.200,777,831
10,00:00:33.240,00:00:46.640,832,1167
11,00:00:46.680,00:00:52.320,1168,1309
12,00:00:52.360,00:00:54.480,1310,1363
13,00:00:54.520,00:00:56.680,1364,1418
14,00:00:56.720,00:00:59.560,1419,1490
