No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.160,1,130
2,00:00:05.200,00:00:07.040,131,177
3,00:00:07.080,00:00:09.480,178,238
4,00:00:09.520,00:00:12.240,239,307
5,00:00:12.280,00:00:14.000,308,351
6,00:00:14.040,00:00:18.760,352,470
7,00:00:18.800,00:00:23.720,471,594
8,00:00:23.760,00:00:25.000,595,626
9,00:00:25.040,00:00:27.040,627,677
10,00:00:27.080,00:00:32.560,678,815
11,00:00:32.600,00:00:35.320,816,884
12,00:00:35.360,00:00:36.400,885,911
13,00:00:36.440,00:00:39.880,912,998
14,00:00:39.920,00:00:42.720,999,1069
15,00:00:42.760,00:00:46.440,1070,1162
16,00:00:46.480,00:00:50.880,1163,1273
17,00:00:50.920,00:00:54.480,1274,1363
18,00:00:54.520,00:01:07.840,1364,1697
19,00:01:07.880,00:01:14.200,1698,1856
20,00:01:14.240,00:01:22.640,1857,2067
21,00:01:22.680,00:01:24.800,2068,2121
22,00:01:24.840,00:01:26.120,2122,2154
