No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.200,1,31
2,00:00:01.240,00:00:02.760,32,70
3,00:00:02.800,00:00:07.680,71,193
4,00:00:07.720,00:00:09.960,194,250
5,00:00:10.000,00:00:12.840,251,322
6,00:00:12.880,00:00:16.080,323,403
7,00:00:16.120,00:00:17.240,404,432
8,00:00:17.280,00:00:19.120,433,479
9,00:00:19.160,00:00:20.520,480,514
10,00:00:20.560,00:00:22.120,515,554
11,00:00:22.160,00:00:25.760,555,645
12,00:00:25.800,00:00:28.160,646,705
13,00:00:28.200,00:00:34.240,706,857
14,00:00:34.280,00:00:36.400,858,911
15,00:00:36.440,00:00:38.080,912,953
16,00:00:38.120,00:00:41.040,954,1027
17,00:00:41.080,00:00:44.520,1028,1114
18,00:00:44.560,00:00:47.000,1115,1176
19,00:00:47.040,00:00:49.000,1177,1226
20,00:00:49.040,00:00:49.680,1227,1243
21,00:00:49.720,00:00:50.560,1244,1265
22,00:00:50.600,00:00:51.640,1266,1292
23,00:00:51.680,00:00:52.520,1293,1314
24,00:00:52.560,00:00:54.800,1315,1371
25,00:00:54.840,00:00:57.840,1372,1447
26,00:00:57.880,00:00:58.800,1448,1471
27,00:00:58.840,00:00:59.320,1472,1484
28,00:00:59.360,00:01:06.720,1485,1669
29,00:01:06.760,00:01:08.240,1670,1707
30,00:01:08.280,00:01:08.960,1708,1725
31,00:01:09.000,00:01:13.120,1726,1829
32,00:01:13.160,00:01:16.080,1830,1903
33,00:01:16.120,00:01:19.520,1904,1989
34,00:01:19.560,00:01:21.040,1990,2027
35,00:01:21.080,00:01:24.480,2028,2113
36,00:01:24.520,00:01:24.640,2114,2117
