No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.560,1,115
2,00:00:04.600,00:00:06.880,116,173
3,00:00:06.920,00:00:08.600,174,216
4,00:00:08.640,00:00:10.560,217,265
5,00:00:10.600,00:00:11.200,266,281
6,00:00:11.240,00:00:12.920,282,324
7,00:00:12.960,00:00:14.640,325,367
8,00:00:14.680,00:00:21.520,368,539
9,00:00:21.560,00:00:29.800,540,746
10,00:00:29.840,00:00:30.560,747,765
11,00:00:30.600,00:00:31.840,766,797
12,00:00:31.880,00:00:32.720,798,819
13,00:00:32.760,00:00:34.160,820,855
14,00:00:34.200,00:00:35.440,856,887
15,00:00:35.480,00:00:36.400,888,911
16,00:00:36.440,00:00:38.280,912,958
17,00:00:38.320,00:00:41.440,959,1037
18,00:00:41.480,00:00:42.680,1038,1068
19,00:00:42.720,00:00:47.240,1069,1182
20,00:00:47.280,00:00:49.200,1183,1231
21,00:00:49.240,00:01:05.040,1232,1627
22,00:01:05.080,00:01:06.760,1628,1670
23,00:01:06.800,00:01:08.240,1671,1707
24,00:01:08.280,00:01:10.800,1708,1771
