No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.640,1,17
2,00:00:00.680,00:00:02.760,18,70
3,00:00:02.800,00:00:05.960,71,150
4,00:00:06.000,00:00:07.400,151,186
5,00:00:07.440,00:00:10.680,187,268
6,00:00:10.720,00:00:14.240,269,357
7,00:00:14.280,00:00:17.880,358,448
8,00:00:17.920,00:00:21.480,449,538
9,00:00:21.520,00:00:24.400,539,611
10,00:00:24.440,00:00:27.200,612,681
11,00:00:27.240,00:00:28.760,682,720
12,00:00:28.800,00:00:33.640,721,842
13,00:00:33.680,00:00:35.520,843,889
14,00:00:35.560,00:00:38.960,890,975
15,00:00:39.000,00:00:41.520,976,1039
16,00:00:41.560,00:00:44.120,1040,1104
17,00:00:44.160,00:00:47.000,1105,1176
18,00:00:47.040,00:00:53.040,1177,1327
19,00:00:53.080,00:00:59.720,1328,1494
20,00:00:59.760,00:01:02.160,1495,1555
21,00:01:02.200,00:01:07.520,1556,1689
22,00:01:07.560,00:01:11.240,1690,1782
23,00:01:11.280,00:01:13.680,1783,1843
24,00:01:13.720,00:01:19.320,1844,1984
25,00:01:19.360,00:01:24.640,1985,2117
26,00:01:24.680,00:01:28.320,2118,2209
27,00:01:28.360,00:01:31.360,2210,2285
28,00:01:31.400,00:01:35.080,2286,2378
29,00:01:35.120,00:01:38.600,2379,2466
