No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.120,1,54
2,00:00:02.160,00:00:02.920,55,74
3,00:00:02.960,00:00:06.440,75,162
4,00:00:06.480,00:00:08.920,163,224
5,00:00:08.960,00:00:10.440,225,262
6,00:00:10.480,00:00:13.200,263,331
7,00:00:13.240,00:00:15.200,332,381
8,00:00:15.240,00:00:17.360,382,435
9,00:00:17.400,00:00:19.240,436,482
10,00:00:19.280,00:00:22.760,483,570
11,00:00:22.800,00:00:24.880,571,623
12,00:00:24.920,00:00:26.800,624,671
13,00:00:26.840,00:00:29.520,672,739
14,00:00:29.560,00:00:32.640,740,817
15,00:00:32.680,00:00:34.640,818,867
16,00:00:34.680,00:00:36.520,868,914
17,00:00:36.560,00:00:40.760,915,1020
18,00:00:40.800,00:00:44.560,1021,1115
19,00:00:44.600,00:00:46.600,1116,1166
20,00:00:46.640,00:00:48.800,1167,1221
21,00:00:48.840,00:00:49.960,1222,1250
22,00:00:50.000,00:00:52.400,1251,1311
23,00:00:52.440,00:00:55.800,1312,1396
24,00:00:55.840,00:00:57.520,1397,1439
25,00:00:57.560,00:00:58.880,1440,1473
26,00:00:58.920,00:01:02.560,1474,1565
27,00:01:02.600,00:01:05.800,1566,1646
28,00:01:05.840,00:01:08.120,1647,1704
29,00:01:08.160,00:01:10.280,1705,1758
30,00:01:10.320,00:01:18.000,1759,1951
31,00:01:18.040,00:01:20.160,1952,2005
32,00:01:20.200,00:01:23.360,2006,2085
33,00:01:23.400,00:01:25.680,2086,2143
34,00:01:25.720,00:01:29.720,2144,2244
35,00:01:29.760,00:01:32.160,2245,2305
36,00:01:32.200,00:01:34.680,2306,2368
37,00:01:34.720,00:01:38.520,2369,2464
38,00:01:38.560,00:01:41.560,2465,2540
39,00:01:41.600,00:01:43.760,2541,2595
40,00:01:43.800,00:01:45.640,2596,2642
41,00:01:45.680,00:01:47.520,2643,2689
42,00:01:47.560,00:01:50.600,2690,2766
43,00:01:50.640,00:01:56.040,2767,2902
44,00:01:56.080,00:01:57.640,2903,2942
45,00:01:57.680,00:02:01.200,2943,3031
46,00:02:01.240,00:02:02.520,3032,3064
47,00:02:02.560,00:02:04.680,3065,3118
48,00:02:04.720,00:02:08.160,3119,3205
49,00:02:08.200,00:02:11.040,3206,3277
50,00:02:11.080,00:02:13.000,3278,3326
51,00:02:13.040,00:02:15.520,3327,3389
52,00:02:15.560,00:02:17.480,3390,3438
53,00:02:17.520,00:02:19.160,3439,3480
54,00:02:19.200,00:02:22.400,3481,3561
55,00:02:22.440,00:02:24.360,3562,3610
56,00:02:24.400,00:02:26.280,3611,3658
57,00:02:26.320,00:02:28.720,3659,3719
58,00:02:28.760,00:02:30.440,3720,3762
59,00:02:30.480,00:02:31.880,3763,3798
60,00:02:31.920,00:02:33.840,3799,3847
61,00:02:33.880,00:02:35.000,3848,3876
62,00:02:35.040,00:02:37.080,3877,3928
63,00:02:37.120,00:02:38.040,3929,3952
64,00:02:38.080,00:02:40.800,3953,4021
65,00:02:40.840,00:02:42.360,4022,4060
66,00:02:42.400,00:02:45.600,4061,4141
67,00:02:45.640,00:02:47.880,4142,4198
68,00:02:47.920,00:02:50.320,4199,4259
69,00:02:50.360,00:02:52.640,4260,4317
70,00:02:52.680,00:02:53.920,4318,4349
71,00:02:53.960,00:02:55.240,4350,4382
72,00:02:55.280,00:02:58.120,4383,4454
73,00:02:58.160,00:03:02.840,4455,4572
74,00:03:02.880,00:03:05.200,4573,4631
75,00:03:05.240,00:03:07.600,4632,4691
76,00:03:07.640,00:03:12.280,4692,4808
77,00:03:12.320,00:03:15.200,4809,4881
78,00:03:15.240,00:03:16.520,4882,4914
79,00:03:16.560,00:03:17.720,4915,4944
80,00:03:17.760,00:03:19.880,4945,4998
81,00:03:19.920,00:03:21.560,4999,5040
82,00:03:21.600,00:03:23.200,5041,5081
83,00:03:23.240,00:03:24.720,5082,5119
84,00:03:24.760,00:03:27.400,5120,5186
85,00:03:27.440,00:03:29.040,5187,5227
86,00:03:29.080,00:03:30.760,5228,5270
87,00:03:30.800,00:03:35.280,5271,5383
88,00:03:35.320,00:03:37.480,5384,5438
89,00:03:37.520,00:03:38.840,5439,5472
90,00:03:38.880,00:03:41.680,5473,5543
91,00:03:41.720,00:03:43.440,5544,5587
92,00:03:43.480,00:03:44.720,5588,5619
93,00:03:44.760,00:03:47.600,5620,5691
94,00:03:47.640,00:03:49.760,5692,5745
95,00:03:49.800,00:03:51.720,5746,5794
96,00:03:51.760,00:03:59.640,5795,5992
97,00:03:59.680,00:04:00.760,5993,6020
98,00:04:00.800,00:04:02.800,6021,6071
99,00:04:02.840,00:04:03.840,6072,6097
100,00:04:03.880,00:04:05.320,6098,6134
101,00:04:05.360,00:04:07.040,6135,6177
102,00:04:07.080,00:04:08.760,6178,6220
