No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.120,1,104
2,00:00:04.160,00:00:07.640,105,192
3,00:00:07.680,00:00:22.920,193,574
4,00:00:22.960,00:00:26.560,575,665
5,00:00:26.600,00:00:31.720,666,794
6,00:00:31.760,00:00:37.560,795,940
7,00:00:37.600,00:00:43.280,941,1083
8,00:00:43.320,00:00:51.880,1084,1298
9,00:00:51.920,00:01:06.960,1299,1675
10,00:01:07.000,00:01:11.880,1676,1798
11,00:01:11.920,00:01:14.520,1799,1864
12,00:01:14.560,00:01:26.520,1865,2164
13,00:01:26.560,00:01:29.240,2165,2232
14,00:01:29.280,00:01:42.240,2233,2557
15,00:01:42.280,00:01:45.080,2558,2628
16,00:01:45.120,00:01:50.040,2629,2752
17,00:01:50.080,00:01:55.800,2753,2896
18,00:01:55.840,00:02:00.880,2897,3023
19,00:02:00.920,00:02:05.160,3024,3130
