No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.080,1,53
2,00:00:02.120,00:00:25.080,54,628
3,00:00:25.120,00:00:27.920,629,699
4,00:00:27.960,00:00:34.160,700,855
5,00:00:34.200,00:00:37.160,856,930
6,00:00:37.200,00:00:40.880,931,1023
7,00:00:40.920,00:00:42.000,1024,1051
8,00:00:42.040,00:00:45.560,1052,1140
9,00:00:45.600,00:00:48.040,1141,1202
10,00:00:48.080,00:00:51.600,1203,1291
11,00:00:51.640,00:00:57.960,1292,1450
12,00:00:58.000,00:01:01.160,1451,1530
13,00:01:01.200,00:01:05.640,1531,1642
14,00:01:05.680,00:01:11.240,1643,1782
15,00:01:11.280,00:01:12.640,1783,1817
16,00:01:12.680,00:01:16.320,1818,1909
17,00:01:16.360,00:01:20.480,1910,2013
18,00:01:20.520,00:01:25.440,2014,2137
19,00:01:25.480,00:01:28.920,2138,2224
20,00:01:28.960,00:01:30.880,2225,2273
21,00:01:30.920,00:01:35.640,2274,2392
22,00:01:35.680,00:01:37.120,2393,2429
23,00:01:37.160,00:01:42.600,2430,2566
24,00:01:42.640,00:01:46.200,2567,2656
25,00:01:46.240,00:02:00.160,2657,3005
26,00:02:00.200,00:02:13.240,3006,3332
27,00:02:13.280,00:02:16.080,3333,3403
28,00:02:16.120,00:02:42.560,3404,4065
29,00:02:42.600,00:02:47.920,4066,4199
30,00:02:47.960,00:02:53.520,4200,4339
31,00:02:53.560,00:02:58.720,4340,4469
32,00:02:58.760,00:03:07.160,4470,4680
33,00:03:07.200,00:03:10.080,4681,4753
34,00:03:10.120,00:03:15.760,4754,4895
35,00:03:15.800,00:03:16.920,4896,4924
