No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.080,1,28
2,00:00:01.120,00:00:02.960,29,75
3,00:00:03.000,00:00:04.520,76,114
4,00:00:04.560,00:00:05.960,115,150
5,00:00:06.000,00:00:07.560,151,190
6,00:00:07.600,00:00:09.280,191,233
7,00:00:09.320,00:00:10.480,234,263
8,00:00:10.520,00:00:13.080,264,328
9,00:00:13.120,00:00:15.840,329,397
10,00:00:15.880,00:00:17.640,398,442
11,00:00:17.680,00:00:18.880,443,473
12,00:00:18.920,00:00:20.960,474,525
13,00:00:21.000,00:00:22.760,526,570
14,00:00:22.800,00:00:24.480,571,613
15,00:00:24.520,00:00:30.520,614,764
16,00:00:30.560,00:00:32.160,765,805
17,00:00:32.200,00:00:34.880,806,873
18,00:00:34.920,00:00:37.760,874,945
19,00:00:37.800,00:00:41.520,946,1039
20,00:00:41.560,00:00:43.800,1040,1096
21,00:00:43.840,00:00:45.280,1097,1133
22,00:00:45.320,00:00:47.480,1134,1188
23,00:00:47.520,00:00:49.960,1189,1250
24,00:00:50.000,00:00:54.920,1251,1374
25,00:00:54.960,00:00:56.360,1375,1410
26,00:00:56.400,00:00:58.040,1411,1452
27,00:00:58.080,00:01:00.160,1453,1505
28,00:01:00.200,00:01:05.240,1506,1632
29,00:01:05.280,00:01:06.480,1633,1663
30,00:01:06.520,00:01:07.800,1664,1696
31,00:01:07.840,00:01:09.240,1697,1732
32,00:01:09.280,00:01:10.680,1733,1768
33,00:01:10.720,00:01:13.960,1769,1850
34,00:01:14.000,00:01:17.840,1851,1947
35,00:01:17.880,00:01:20.480,1948,2013
36,00:01:20.520,00:01:25.640,2014,2142
