No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.480,1,63
2,00:00:02.520,00:00:07.320,64,184
3,00:00:07.360,00:00:08.720,185,219
4,00:00:08.760,00:00:12.200,220,306
5,00:00:12.240,00:00:15.600,307,391
6,00:00:15.640,00:00:18.920,392,474
7,00:00:18.960,00:00:21.800,475,546
8,00:00:21.840,00:00:24.200,547,606
9,00:00:24.240,00:00:26.080,607,653
10,00:00:26.120,00:00:29.200,654,731
11,00:00:29.240,00:00:31.160,732,780
12,00:00:31.200,00:00:33.400,781,836
13,00:00:33.440,00:00:40.160,837,1005
14,00:00:40.200,00:00:44.640,1006,1117
15,00:00:44.680,00:00:54.680,1118,1368
16,00:00:54.720,00:01:00.400,1369,1511
17,00:01:00.440,00:01:02.680,1512,1568
18,00:01:02.720,00:01:04.360,1569,1610
19,00:01:04.400,00:01:06.760,1611,1670
20,00:01:06.800,00:01:10.360,1671,1760
21,00:01:10.400,00:01:14.280,1761,1858
22,00:01:14.320,00:01:23.320,1859,2084
23,00:01:23.360,00:01:25.800,2085,2146
24,00:01:25.840,00:01:30.320,2147,2259
25,00:01:30.360,00:01:33.640,2260,2342
26,00:01:33.680,00:01:39.080,2343,2478
27,00:01:39.120,00:01:41.760,2479,2545
28,00:01:41.800,00:01:46.920,2546,2674
29,00:01:46.960,00:01:48.760,2675,2720
30,00:01:48.800,00:01:52.000,2721,2801
31,00:01:52.040,00:01:53.880,2802,2848
32,00:01:53.920,00:02:01.280,2849,3033
33,00:02:01.320,00:02:04.200,3034,3106
34,00:02:04.240,00:02:06.440,3107,3162
35,00:02:06.480,00:02:07.560,3163,3190
36,00:02:07.600,00:02:09.440,3191,3237
37,00:02:09.480,00:02:11.440,3238,3287
38,00:02:11.480,00:02:13.280,3288,3333
39,00:02:13.320,00:02:24.320,3334,3609
40,00:02:24.360,00:02:29.200,3610,3731
41,00:02:29.240,00:02:48.040,3732,4202
