No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.080,1,53
2,00:00:02.120,00:00:04.480,54,113
3,00:00:04.520,00:00:12.920,114,324
4,00:00:12.960,00:00:25.720,325,644
5,00:00:25.760,00:00:29.800,645,746
6,00:00:29.840,00:00:34.400,747,861
7,00:00:34.440,00:00:48.240,862,1207
8,00:00:48.280,00:00:49.600,1208,1241
9,00:00:49.640,00:00:57.000,1242,1426
10,00:00:57.040,00:00:59.440,1427,1487
11,00:00:59.480,00:01:03.200,1488,1581
12,00:01:03.240,00:01:06.720,1582,1669
13,00:01:06.760,00:01:09.280,1670,1733
14,00:01:09.320,00:01:12.600,1734,1816
15,00:01:12.640,00:01:18.800,1817,1971
16,00:01:18.840,00:01:21.720,1972,2044
17,00:01:21.760,00:01:29.840,2045,2247
18,00:01:29.880,00:01:32.760,2248,2320
19,00:01:32.800,00:01:36.040,2321,2402
20,00:01:36.080,00:01:37.400,2403,2436
21,00:01:37.440,00:01:41.480,2437,2538
22,00:01:41.520,00:01:46.520,2539,2664
23,00:01:46.560,00:01:48.000,2665,2701
24,00:01:48.040,00:01:51.200,2702,2781
25,00:01:51.240,00:01:52.880,2782,2823
26,00:01:52.920,00:01:54.880,2824,2873
