No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.720,1,19
2,00:00:00.760,00:00:05.280,20,133
3,00:00:05.320,00:00:08.040,134,202
4,00:00:08.080,00:00:11.560,203,290
5,00:00:11.600,00:00:23.000,291,576
6,00:00:23.040,00:00:26.920,577,674
7,00:00:26.960,00:00:33.360,675,835
8,00:00:33.400,00:00:36.440,836,912
9,00:00:36.480,00:00:37.840,913,947
10,00:00:37.880,00:00:41.560,948,1040
11,00:00:41.600,00:00:44.440,1041,1112
12,00:00:44.480,00:00:47.360,1113,1185
13,00:00:47.400,00:00:49.400,1186,1236
14,00:00:49.440,00:00:52.280,1237,1308
15,00:00:52.320,00:00:57.400,1309,1436
16,00:00:57.440,00:01:00.600,1437,1516
17,00:01:00.640,00:01:03.840,1517,1597
18,00:01:03.880,00:01:08.280,1598,1708
19,00:01:08.320,00:01:10.040,1709,1752
20,00:01:10.080,00:01:12.920,1753,1824
21,00:01:12.960,00:01:15.000,1825,1876
