No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.040,1,77
2,00:00:03.080,00:00:08.640,78,217
3,00:00:08.680,00:00:12.080,218,303
4,00:00:12.120,00:00:16.480,304,413
5,00:00:16.520,00:00:31.960,414,800
6,00:00:32.000,00:00:39.120,801,979
7,00:00:39.160,00:00:50.280,980,1258
8,00:00:50.320,00:00:53.640,1259,1342
9,00:00:53.680,00:00:58.400,1343,1461
10,00:00:58.440,00:01:01.240,1462,1532
11,00:01:01.280,00:01:05.320,1533,1634
12,00:01:05.360,00:01:12.120,1635,1804
13,00:01:12.160,00:01:15.920,1805,1899
14,00:01:15.960,00:01:19.680,1900,1993
15,00:01:19.720,00:01:21.400,1994,2036
16,00:01:21.440,00:01:22.240,2037,2057
17,00:01:22.280,00:01:24.520,2058,2114
18,00:01:24.560,00:01:27.520,2115,2189
19,00:01:27.560,00:01:31.400,2190,2286
20,00:01:31.440,00:01:32.720,2287,2319
21,00:01:32.760,00:01:38.600,2320,2466
22,00:01:38.640,00:01:40.800,2467,2521
23,00:01:40.840,00:01:43.680,2522,2593
24,00:01:43.720,00:01:46.160,2594,2655
25,00:01:46.200,00:01:47.440,2656,2687
26,00:01:47.480,00:01:50.480,2688,2763
27,00:01:50.520,00:01:52.680,2764,2818
28,00:01:52.720,00:01:56.120,2819,2904
29,00:01:56.160,00:01:59.800,2905,2996
30,00:01:59.840,00:02:04.760,2997,3120
31,00:02:04.800,00:02:07.320,3121,3184
32,00:02:07.360,00:02:16.240,3185,3407
33,00:02:16.280,00:02:18.920,3408,3474
34,00:02:18.960,00:02:22.120,3475,3554
35,00:02:22.160,00:02:27.920,3555,3699
36,00:02:27.960,00:02:30.800,3700,3771
37,00:02:30.840,00:02:32.680,3772,3818
38,00:02:32.720,00:02:36.560,3819,3915
39,00:02:36.600,00:02:41.560,3916,4040
40,00:02:41.600,00:02:44.320,4041,4109
41,00:02:44.360,00:02:46.440,4110,4162
42,00:02:46.480,00:02:50.120,4163,4254
43,00:02:50.160,00:02:53.120,4255,4329
