No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.720,1,44
2,00:00:01.760,00:00:03.440,45,87
3,00:00:03.480,00:00:05.840,88,147
4,00:00:05.880,00:00:08.720,148,219
5,00:00:08.760,00:00:11.040,220,277
6,00:00:11.080,00:00:14.040,278,352
7,00:00:14.080,00:00:20.000,353,501
8,00:00:20.040,00:00:22.600,502,566
9,00:00:22.640,00:00:25.360,567,635
10,00:00:25.400,00:00:34.360,636,860
11,00:00:34.400,00:00:39.720,861,994
12,00:00:39.760,00:00:42.160,995,1055
13,00:00:42.200,00:00:47.680,1056,1193
14,00:00:47.720,00:00:50.080,1194,1253
15,00:00:50.120,00:00:51.720,1254,1294
16,00:00:51.760,00:00:54.080,1295,1353
17,00:00:54.120,00:00:55.200,1354,1381
18,00:00:55.240,00:00:56.760,1382,1420
19,00:00:56.800,00:00:59.560,1421,1490
20,00:00:59.600,00:01:01.600,1491,1541
21,00:01:01.640,00:01:02.840,1542,1572
22,00:01:02.880,00:01:07.000,1573,1676
23,00:01:07.040,00:01:12.320,1677,1809
24,00:01:12.360,00:01:18.560,1810,1965
25,00:01:18.600,00:01:21.800,1966,2046
26,00:01:21.840,00:01:24.560,2047,2115
27,00:01:24.600,00:01:28.160,2116,2205
28,00:01:28.200,00:01:31.920,2206,2299
29,00:01:31.960,00:01:33.840,2300,2347
30,00:01:33.880,00:01:38.280,2348,2458
31,00:01:38.320,00:01:40.000,2459,2501
32,00:01:40.040,00:01:41.680,2502,2543
33,00:01:41.720,00:01:43.600,2544,2591
34,00:01:43.640,00:01:47.000,2592,2676
35,00:01:47.040,00:01:49.120,2677,2729
36,00:01:49.160,00:01:51.240,2730,2782
37,00:01:51.280,00:01:53.560,2783,2840
