No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.920,1,49
2,00:00:01.960,00:00:04.360,50,110
3,00:00:04.400,00:00:06.120,111,154
4,00:00:06.160,00:00:09.560,155,240
5,00:00:09.600,00:00:11.880,241,298
6,00:00:11.920,00:00:15.800,299,396
7,00:00:15.840,00:00:17.880,397,448
8,00:00:17.920,00:00:21.920,449,549
9,00:00:21.960,00:00:24.360,550,610
10,00:00:24.400,00:00:26.320,611,659
11,00:00:26.360,00:00:30.920,660,774
12,00:00:30.960,00:00:32.960,775,825
13,00:00:33.000,00:00:34.400,826,861
14,00:00:34.440,00:00:36.160,862,905
15,00:00:36.200,00:00:37.360,906,935
16,00:00:37.400,00:00:39.720,936,994
17,00:00:39.760,00:00:41.720,995,1044
18,00:00:41.760,00:00:43.240,1045,1082
