No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.160,1,55
2,00:00:02.200,00:00:04.920,56,124
3,00:00:04.960,00:00:06.760,125,170
4,00:00:06.800,00:00:08.160,171,205
5,00:00:08.200,00:00:10.000,206,251
6,00:00:10.040,00:00:12.320,252,309
7,00:00:12.360,00:00:15.880,310,398
8,00:00:15.920,00:00:17.480,399,438
9,00:00:17.520,00:00:20.960,439,525
10,00:00:21.000,00:00:23.520,526,589
11,00:00:23.560,00:00:25.480,590,638
12,00:00:25.520,00:00:27.400,639,686
13,00:00:27.440,00:00:29.240,687,732
14,00:00:29.280,00:00:31.000,733,776
15,00:00:31.040,00:00:33.120,777,829
16,00:00:33.160,00:00:38.360,830,960
