No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.040,1,77
2,00:00:03.080,00:00:05.160,78,130
3,00:00:05.200,00:00:10.400,131,261
4,00:00:10.440,00:00:14.440,262,362
5,00:00:14.480,00:00:26.440,363,662
6,00:00:26.480,00:00:30.560,663,765
7,00:00:30.600,00:00:32.240,766,807
8,00:00:32.280,00:00:33.880,808,848
9,00:00:33.920,00:00:35.240,849,882
10,00:00:35.280,00:00:35.960,883,900
11,00:00:36.000,00:00:37.440,901,937
12,00:00:37.480,00:00:38.120,938,954
13,00:00:38.160,00:00:39.480,955,988
14,00:00:39.520,00:00:42.200,989,1056
15,00:00:42.240,00:00:45.680,1057,1143
16,00:00:45.720,00:00:47.640,1144,1192
17,00:00:47.680,00:00:51.880,1193,1298
18,00:00:51.920,00:00:53.520,1299,1339
19,00:00:53.560,00:00:55.680,1340,1393
20,00:00:55.720,00:00:59.960,1394,1500
21,00:01:00.000,00:01:02.800,1501,1571
22,00:01:02.840,00:01:05.560,1572,1640
23,00:01:05.600,00:01:07.280,1641,1683
24,00:01:07.320,00:01:09.920,1684,1749
25,00:01:09.960,00:01:11.600,1750,1791
26,00:01:11.640,00:01:14.080,1792,1853
27,00:01:14.120,00:01:16.280,1854,1908
28,00:01:16.320,00:01:19.640,1909,1992
29,00:01:19.680,00:01:34.760,1993,2370
30,00:01:34.800,00:01:49.800,2371,2746
31,00:01:49.840,00:01:53.960,2747,2850
32,00:01:54.000,00:02:03.240,2851,3082
33,00:02:03.280,00:02:06.720,3083,3169
34,00:02:06.760,00:02:14.080,3170,3353
35,00:02:14.120,00:02:18.680,3354,3468
36,00:02:18.720,00:02:22.520,3469,3564
37,00:02:22.560,00:02:25.320,3565,3634
38,00:02:25.360,00:02:27.400,3635,3686
39,00:02:27.440,00:02:31.880,3687,3798
40,00:02:31.920,00:02:33.720,3799,3844
41,00:02:33.760,00:02:38.080,3845,3953
42,00:02:38.120,00:02:39.880,3954,3998
43,00:02:39.920,00:02:41.880,3999,4048
44,00:02:41.920,00:02:44.200,4049,4106
45,00:02:44.240,00:02:45.560,4107,4140
