No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.400,1,86
2,00:00:03.440,00:00:06.080,87,153
3,00:00:06.120,00:00:07.720,154,194
4,00:00:07.760,00:00:10.760,195,270
5,00:00:10.800,00:00:12.680,271,318
6,00:00:12.720,00:00:13.920,319,349
7,00:00:13.960,00:00:15.320,350,384
8,00:00:15.360,00:00:16.400,385,411
9,00:00:16.440,00:00:18.280,412,458
10,00:00:18.320,00:00:24.160,459,605
11,00:00:24.200,00:00:27.360,606,685
12,00:00:27.400,00:00:29.880,686,748
13,00:00:29.920,00:00:35.760,749,895
14,00:00:35.800,00:00:37.200,896,931
15,00:00:37.240,00:00:38.800,932,971
16,00:00:38.840,00:00:42.800,972,1071
17,00:00:42.840,00:00:44.480,1072,1113
18,00:00:44.520,00:00:50.080,1114,1253
19,00:00:50.120,00:00:52.080,1254,1303
20,00:00:52.120,00:00:56.720,1304,1419
21,00:00:56.760,00:00:59.000,1420,1476
22,00:00:59.040,00:01:00.720,1477,1519
23,00:01:00.760,00:01:08.040,1520,1702
24,00:01:08.080,00:01:10.320,1703,1759
25,00:01:10.360,00:01:12.680,1760,1818
26,00:01:12.720,00:01:14.760,1819,1870
27,00:01:14.800,00:01:16.680,1871,1918
28,00:01:16.720,00:01:19.680,1919,1993
29,00:01:19.720,00:01:21.280,1994,2033
30,00:01:21.320,00:01:27.080,2034,2178
31,00:01:27.120,00:01:32.520,2179,2314
32,00:01:32.560,00:01:34.120,2315,2354
33,00:01:34.160,00:01:36.240,2355,2407
34,00:01:36.280,00:01:37.440,2408,2437
35,00:01:37.480,00:01:43.280,2438,2583
36,00:01:43.320,00:01:44.320,2584,2609
37,00:01:44.360,00:01:47.400,2610,2686
38,00:01:47.440,00:01:49.480,2687,2738
39,00:01:49.520,00:01:52.240,2739,2807
40,00:01:52.280,00:01:53.120,2808,2829
41,00:01:53.160,00:01:55.840,2830,2897
42,00:01:55.880,00:01:57.080,2898,2928
43,00:01:57.120,00:02:08.880,2929,3223
44,00:02:08.920,00:02:10.560,3224,3265
45,00:02:10.600,00:02:13.920,3266,3349
46,00:02:13.960,00:02:15.680,3350,3393
47,00:02:15.720,00:02:22.360,3394,3560
48,00:02:22.400,00:02:24.560,3561,3615
49,00:02:24.600,00:02:33.400,3616,3836
50,00:02:33.440,00:02:34.920,3837,3874
51,00:02:34.960,00:02:37.800,3875,3946
52,00:02:37.840,00:02:41.400,3947,4036
53,00:02:41.440,00:02:42.440,4037,4062
54,00:02:42.480,00:02:50.960,4063,4275
55,00:02:51.000,00:02:52.400,4276,4311
56,00:02:52.440,00:02:56.840,4312,4422
57,00:02:56.880,00:02:58.440,4423,4462
58,00:02:58.480,00:03:02.320,4463,4559
59,00:03:02.360,00:03:11.320,4560,4784
60,00:03:11.360,00:03:13.440,4785,4837
61,00:03:13.480,00:03:14.600,4838,4866
62,00:03:14.640,00:03:22.760,4867,5070
63,00:03:22.800,00:03:25.160,5071,5130
64,00:03:25.200,00:03:32.280,5131,5308
65,00:03:32.320,00:03:33.440,5309,5337
66,00:03:33.480,00:03:37.360,5338,5435
67,00:03:37.400,00:03:40.040,5436,5502
68,00:03:40.080,00:03:51.520,5503,5789
69,00:03:51.560,00:03:54.760,5790,5870
70,00:03:54.800,00:03:55.520,5871,5889
71,00:03:55.560,00:03:56.800,5890,5921
72,00:03:56.840,00:04:02.880,5922,6073
73,00:04:02.920,00:04:05.480,6074,6138
74,00:04:05.520,00:04:14.600,6139,6366
75,00:04:14.640,00:04:16.520,6367,6414
76,00:04:16.560,00:04:21.040,6415,6527
77,00:04:21.080,00:04:25.240,6528,6632
78,00:04:25.280,00:04:28.160,6633,6705
79,00:04:28.200,00:04:30.960,6706,6775
80,00:04:31.000,00:04:35.680,6776,6893
81,00:04:35.720,00:04:38.400,6894,6961
82,00:04:38.440,00:04:44.760,6962,7120
83,00:04:44.800,00:04:46.280,7121,7158
84,00:04:46.320,00:04:48.120,7159,7204
85,00:04:48.160,00:04:49.640,7205,7242
86,00:04:49.680,00:04:53.000,7243,7326
87,00:04:53.040,00:04:55.520,7327,7389
88,00:04:55.560,00:04:59.120,7390,7479
89,00:04:59.160,00:05:02.640,7480,7567
90,00:05:02.680,00:05:05.040,7568,7627
91,00:05:05.080,00:05:06.040,7628,7652
92,00:05:06.080,00:05:12.200,7653,7806
