No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.120,1,29
2,00:00:01.160,00:00:02.920,30,74
3,00:00:02.960,00:00:08.480,75,213
4,00:00:08.520,00:00:13.200,214,331
5,00:00:13.240,00:00:27.560,332,690
6,00:00:27.600,00:00:34.560,691,865
7,00:00:34.600,00:00:41.520,866,1039
8,00:00:41.560,00:00:42.920,1040,1074
9,00:00:42.960,00:00:45.800,1075,1146
10,00:00:45.840,00:00:47.240,1147,1182
11,00:00:47.280,00:00:52.920,1183,1324
12,00:00:52.960,00:00:55.200,1325,1381
13,00:00:55.240,00:01:14.440,1382,1862
14,00:01:14.480,00:01:17.920,1863,1949
15,00:01:17.960,00:01:19.600,1950,1991
16,00:01:19.640,00:01:21.640,1992,2042
17,00:01:21.680,00:01:28.560,2043,2215
18,00:01:28.600,00:01:31.800,2216,2296
19,00:01:31.840,00:01:33.600,2297,2341
20,00:01:33.640,00:01:45.560,2342,2640
21,00:01:45.600,00:01:51.880,2641,2798
22,00:01:51.920,00:01:54.000,2799,2851
23,00:01:54.040,00:01:56.040,2852,2902
24,00:01:56.080,00:01:57.640,2903,2942
25,00:01:57.680,00:02:09.960,2943,3250
26,00:02:10.000,00:02:11.920,3251,3299
27,00:02:11.960,00:02:15.600,3300,3391
28,00:02:15.640,00:02:18.160,3392,3455
29,00:02:18.200,00:02:36.200,3456,3906
30,00:02:36.240,00:02:37.920,3907,3949
31,00:02:37.960,00:02:44.400,3950,4111
32,00:02:44.440,00:02:45.800,4112,4146
33,00:02:45.840,00:02:55.880,4147,4398
34,00:02:55.920,00:02:59.160,4399,4480
35,00:02:59.200,00:03:03.000,4481,4576
36,00:03:03.040,00:03:04.440,4577,4612
37,00:03:04.480,00:03:14.240,4613,4857
38,00:03:14.280,00:03:15.840,4858,4897
39,00:03:15.880,00:03:22.880,4898,5073
40,00:03:22.920,00:03:26.480,5074,5163
41,00:03:26.520,00:03:35.560,5164,5390
42,00:03:35.600,00:03:36.920,5391,5424
43,00:03:36.960,00:03:43.080,5425,5578
44,00:03:43.120,00:03:45.920,5579,5649
45,00:03:45.960,00:04:00.920,5650,6024
46,00:04:00.960,00:04:02.640,6025,6067
47,00:04:02.680,00:04:10.160,6068,6255
48,00:04:10.200,00:04:12.680,6256,6318
49,00:04:12.720,00:04:13.840,6319,6347
50,00:04:13.880,00:04:15.920,6348,6399
51,00:04:15.960,00:04:19.840,6400,6497
52,00:04:19.880,00:04:20.800,6498,6521
