No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.960,1,50
2,00:00:02.000,00:00:04.040,51,102
3,00:00:04.080,00:00:05.920,103,149
4,00:00:05.960,00:00:07.400,150,186
5,00:00:07.440,00:00:07.880,187,198
6,00:00:07.920,00:00:08.320,199,209
7,00:00:08.360,00:00:09.800,210,246
8,00:00:09.840,00:00:11.240,247,282
9,00:00:11.280,00:00:11.480,283,288
10,00:00:11.520,00:00:11.960,289,300
11,00:00:12.000,00:00:12.440,301,312
12,00:00:12.480,00:00:13.600,313,341
13,00:00:13.640,00:00:15.280,342,383
14,00:00:15.320,00:00:16.920,384,424
15,00:00:16.960,00:00:18.600,425,466
16,00:00:18.640,00:00:20.280,467,508
17,00:00:20.320,00:00:21.960,509,550
18,00:00:22.000,00:00:26.560,551,665
19,00:00:26.600,00:00:28.080,666,703
20,00:00:28.120,00:00:30.160,704,755
21,00:00:30.200,00:00:31.640,756,792
22,00:00:31.680,00:00:33.640,793,842
23,00:00:33.680,00:00:34.520,843,864
24,00:00:34.560,00:00:35.400,865,886
25,00:00:35.440,00:00:36.400,887,911
26,00:00:36.440,00:00:38.520,912,964
27,00:00:38.560,00:00:39.440,965,987
28,00:00:39.480,00:00:40.840,988,1022
29,00:00:40.880,00:00:42.000,1023,1051
30,00:00:42.040,00:00:43.160,1052,1080
31,00:00:43.200,00:00:43.800,1081,1096
32,00:00:43.840,00:00:45.120,1097,1129
33,00:00:45.160,00:00:48.040,1130,1202
34,00:00:48.080,00:00:49.040,1203,1227
35,00:00:49.080,00:00:49.840,1228,1247
36,00:00:49.880,00:00:50.920,1248,1274
37,00:00:50.960,00:00:51.960,1275,1300
38,00:00:52.000,00:00:53.000,1301,1326
39,00:00:53.040,00:00:54.040,1327,1352
40,00:00:54.080,00:00:54.120,1353,1354
41,00:00:54.160,00:00:55.080,1355,1378
42,00:00:55.120,00:00:56.400,1379,1411
43,00:00:56.440,00:00:57.480,1412,1438
44,00:00:57.520,00:00:58.520,1439,1464
45,00:00:58.560,00:01:00.400,1465,1511
46,00:01:00.440,00:01:04.360,1512,1610
47,00:01:04.400,00:01:05.440,1611,1637
48,00:01:05.480,00:01:06.880,1638,1673
49,00:01:06.920,00:01:08.280,1674,1708
50,00:01:08.320,00:01:09.000,1709,1726
51,00:01:09.040,00:01:10.280,1727,1758
52,00:01:10.320,00:01:12.360,1759,1810
53,00:01:12.400,00:01:13.200,1811,1831
54,00:01:13.240,00:01:14.280,1832,1858
55,00:01:14.320,00:01:15.560,1859,1890
56,00:01:15.600,00:01:17.040,1891,1927
57,00:01:17.080,00:01:17.920,1928,1949
58,00:01:17.960,00:01:19.000,1950,1976
59,00:01:19.040,00:01:20.680,1977,2018
60,00:01:20.720,00:01:22.200,2019,2056
61,00:01:22.240,00:01:23.640,2057,2092
62,00:01:23.680,00:01:24.840,2093,2122
63,00:01:24.880,00:01:25.560,2123,2140
64,00:01:25.600,00:01:27.880,2141,2198
65,00:01:27.920,00:01:28.320,2199,2209
66,00:01:28.360,00:01:29.760,2210,2245
67,00:01:29.800,00:01:30.480,2246,2263
68,00:01:30.520,00:01:31.880,2264,2298
69,00:01:31.920,00:01:33.200,2299,2331
70,00:01:33.240,00:01:34.080,2332,2353
71,00:01:34.120,00:01:34.760,2354,2370
72,00:01:34.800,00:01:35.360,2371,2385
73,00:01:35.400,00:01:36.200,2386,2406
74,00:01:36.240,00:01:37.040,2407,2427
75,00:01:37.080,00:01:38.160,2428,2455
76,00:01:38.200,00:01:39.480,2456,2488
77,00:01:39.520,00:01:40.240,2489,2507
78,00:01:40.280,00:01:40.840,2508,2522
79,00:01:40.880,00:01:41.520,2523,2539
80,00:01:41.560,00:01:43.080,2540,2578
81,00:01:43.120,00:01:45.920,2579,2649
82,00:01:45.960,00:01:47.960,2650,2700
83,00:01:48.000,00:01:49.160,2701,2730
84,00:01:49.200,00:01:51.320,2731,2784
85,00:01:51.360,00:01:52.280,2785,2808
86,00:01:52.320,00:01:53.200,2809,2831
87,00:01:53.240,00:01:54.000,2832,2851
88,00:01:54.040,00:01:55.480,2852,2888
89,00:01:55.520,00:01:56.560,2889,2915
90,00:01:56.600,00:01:57.520,2916,2939
91,00:01:57.560,00:01:58.480,2940,2963
92,00:01:58.520,00:01:59.440,2964,2987
93,00:01:59.480,00:02:00.920,2988,3024
94,00:02:00.960,00:02:01.600,3025,3041
95,00:02:01.640,00:02:02.360,3042,3060
96,00:02:02.400,00:02:03.440,3061,3087
97,00:02:03.480,00:02:04.720,3088,3119
98,00:02:04.760,00:02:05.920,3120,3149
99,00:02:05.960,00:02:07.280,3150,3183
100,00:02:07.320,00:02:08.560,3184,3215
101,00:02:08.600,00:02:10.520,3216,3264
102,00:02:10.560,00:02:12.360,3265,3310
103,00:02:12.400,00:02:13.760,3311,3345
104,00:02:13.800,00:02:15.240,3346,3382
105,00:02:15.280,00:02:16.800,3383,3421
106,00:02:16.840,00:02:18.160,3422,3455
107,00:02:18.200,00:02:19.640,3456,3492
108,00:02:19.680,00:02:21.080,3493,3528
109,00:02:21.120,00:02:22.120,3529,3554
110,00:02:22.160,00:02:22.960,3555,3575
111,00:02:23.000,00:02:24.440,3576,3612
112,00:02:24.480,00:02:25.720,3613,3644
113,00:02:25.760,00:02:27.480,3645,3688
114,00:02:27.520,00:02:29.160,3689,3730
115,00:02:29.200,00:02:30.600,3731,3766
116,00:02:30.640,00:02:32.120,3767,3804
117,00:02:32.160,00:02:34.240,3805,3857
118,00:02:34.280,00:02:35.120,3858,3879
119,00:02:35.160,00:02:36.360,3880,3910
120,00:02:36.400,00:02:37.200,3911,3931
121,00:02:37.240,00:02:38.160,3932,3955
122,00:02:38.200,00:02:39.320,3956,3984
123,00:02:39.360,00:02:41.200,3985,4031
124,00:02:41.240,00:02:42.520,4032,4064
125,00:02:42.560,00:02:43.840,4065,4097
126,00:02:43.880,00:02:45.320,4098,4134
127,00:02:45.360,00:02:46.440,4135,4162
128,00:02:46.480,00:02:47.560,4163,4190
129,00:02:47.600,00:02:51.040,4191,4277
130,00:02:51.080,00:02:52.640,4278,4317
131,00:02:52.680,00:02:53.760,4318,4345
132,00:02:53.800,00:02:54.520,4346,4364
133,00:02:54.560,00:02:55.360,4365,4385
134,00:02:55.400,00:02:56.840,4386,4422
135,00:02:56.880,00:02:58.000,4423,4451
136,00:02:58.040,00:02:59.200,4452,4481
137,00:02:59.240,00:03:00.320,4482,4509
138,00:03:00.360,00:03:01.400,4510,4536
139,00:03:01.440,00:03:02.040,4537,4552
140,00:03:02.080,00:03:02.600,4553,4566
141,00:03:02.640,00:03:03.520,4567,4589
142,00:03:03.560,00:03:04.280,4590,4608
143,00:03:04.320,00:03:05.160,4609,4630
144,00:03:05.200,00:03:07.160,4631,4680
145,00:03:07.200,00:03:08.520,4681,4714
146,00:03:08.560,00:03:09.680,4715,4743
147,00:03:09.720,00:03:11.520,4744,4789
148,00:03:11.560,00:03:12.520,4790,4814
149,00:03:12.560,00:03:13.440,4815,4837
150,00:03:13.480,00:03:14.240,4838,4857
151,00:03:14.280,00:03:14.920,4858,4874
152,00:03:14.960,00:03:15.840,4875,4897
153,00:03:15.880,00:03:17.280,4898,4933
154,00:03:17.320,00:03:18.480,4934,4963
155,00:03:18.520,00:03:19.440,4964,4987
156,00:03:19.480,00:03:20.720,4988,5019
157,00:03:20.760,00:03:22.240,5020,5057
158,00:03:22.280,00:03:23.200,5058,5081
159,00:03:23.240,00:03:24.320,5082,5109
160,00:03:24.360,00:03:25.080,5110,5128
161,00:03:25.120,00:03:26.240,5129,5157
162,00:03:26.280,00:03:28.440,5158,5212
