No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.000,1,1
2,00:00:00.040,00:00:01.320,2,34
3,00:00:01.360,00:00:04.200,35,106
4,00:00:04.240,00:00:07.000,107,176
5,00:00:07.040,00:00:08.520,177,214
6,00:00:08.560,00:00:10.760,215,270
7,00:00:10.800,00:00:12.120,271,304
8,00:00:12.160,00:00:14.240,305,357
9,00:00:14.280,00:00:16.000,358,401
10,00:00:16.040,00:00:18.120,402,454
11,00:00:18.160,00:00:23.400,455,586
12,00:00:23.440,00:00:26.000,587,651
13,00:00:26.040,00:00:28.160,652,705
14,00:00:28.200,00:00:32.120,706,804
15,00:00:32.160,00:00:33.960,805,850
16,00:00:34.000,00:00:35.360,851,885
17,00:00:35.400,00:00:37.400,886,936
18,00:00:37.440,00:00:38.760,937,970
19,00:00:38.800,00:00:41.000,971,1026
20,00:00:41.040,00:00:42.760,1027,1070
21,00:00:42.800,00:00:44.160,1071,1105
22,00:00:44.200,00:00:45.040,1106,1127
23,00:00:45.080,00:00:45.920,1128,1149
24,00:00:45.960,00:00:48.000,1150,1201
25,00:00:48.040,00:00:51.680,1202,1293
26,00:00:51.720,00:00:53.000,1294,1326
27,00:00:53.040,00:00:54.760,1327,1370
28,00:00:54.800,00:00:58.080,1371,1453
29,00:00:58.120,00:00:59.920,1454,1499
30,00:00:59.960,00:01:01.760,1500,1545
31,00:01:01.800,00:01:03.840,1546,1597
32,00:01:03.880,00:01:03.880,1598,1598
33,00:01:03.920,00:01:05.640,1599,1642
34,00:01:05.680,00:01:10.200,1643,1756
35,00:01:10.240,00:01:11.880,1757,1798
36,00:01:11.920,00:01:13.880,1799,1848
37,00:01:13.920,00:01:15.840,1849,1897
38,00:01:15.880,00:01:17.720,1898,1944
39,00:01:17.760,00:01:22.200,1945,2056
40,00:01:22.240,00:01:24.200,2057,2106
41,00:01:24.240,00:01:25.960,2107,2150
42,00:01:26.000,00:01:29.000,2151,2226
43,00:01:29.040,00:01:35.640,2227,2392
44,00:01:35.680,00:01:37.160,2393,2430
45,00:01:37.200,00:01:39.640,2431,2492
46,00:01:39.680,00:01:41.400,2493,2536
47,00:01:41.440,00:01:44.000,2537,2601
48,00:01:44.040,00:01:49.840,2602,2747
49,00:01:49.880,00:01:55.640,2748,2892
50,00:01:55.680,00:01:57.400,2893,2936
51,00:01:57.440,00:01:58.840,2937,2972
52,00:01:58.880,00:02:01.600,2973,3041
53,00:02:01.640,00:02:02.880,3042,3073
54,00:02:02.920,00:02:04.920,3074,3124
55,00:02:04.960,00:02:06.480,3125,3163
56,00:02:06.520,00:02:08.200,3164,3206
57,00:02:08.240,00:02:09.440,3207,3237
58,00:02:09.480,00:02:15.040,3238,3377
59,00:02:15.080,00:02:17.200,3378,3431
60,00:02:17.240,00:02:18.200,3432,3456
61,00:02:18.240,00:02:21.760,3457,3545
62,00:02:21.800,00:02:25.120,3546,3629
63,00:02:25.160,00:02:27.320,3630,3684
64,00:02:27.360,00:02:32.920,3685,3824
65,00:02:32.960,00:02:34.240,3825,3857
66,00:02:34.280,00:02:35.960,3858,3900
67,00:02:36.000,00:02:38.640,3901,3967
68,00:02:38.680,00:02:41.280,3968,4033
69,00:02:41.320,00:02:46.080,4034,4153
70,00:02:46.120,00:02:47.440,4154,4187
71,00:02:47.480,00:02:49.120,4188,4229
72,00:02:49.160,00:02:50.600,4230,4266
73,00:02:50.640,00:02:52.040,4267,4302
74,00:02:52.080,00:02:53.240,4303,4332
75,00:02:53.280,00:02:55.640,4333,4392
76,00:02:55.680,00:02:58.400,4393,4461
77,00:02:58.440,00:02:59.960,4462,4500
78,00:03:00.000,00:03:02.200,4501,4556
79,00:03:02.240,00:03:05.280,4557,4633
80,00:03:05.320,00:03:06.480,4634,4663
81,00:03:06.520,00:03:06.560,4664,4665
