No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.920,1,124
2,00:00:04.960,00:00:13.960,125,350
3,00:00:14.000,00:00:17.800,351,446
4,00:00:17.840,00:00:19.440,447,487
5,00:00:19.480,00:00:22.160,488,555
6,00:00:22.200,00:00:28.240,556,707
7,00:00:28.280,00:00:34.680,708,868
8,00:00:34.720,00:00:44.440,869,1112
9,00:00:44.480,00:00:45.680,1113,1143
10,00:00:45.720,00:00:48.840,1144,1222
11,00:00:48.880,00:00:59.080,1223,1478
12,00:00:59.120,00:01:02.080,1479,1553
13,00:01:02.120,00:01:04.880,1554,1623
14,00:01:04.920,00:01:06.680,1624,1668
15,00:01:06.720,00:01:11.400,1669,1786
16,00:01:11.440,00:01:15.240,1787,1882
17,00:01:15.280,00:01:22.840,1883,2072
18,00:01:22.880,00:01:24.440,2073,2112
19,00:01:24.480,00:01:36.840,2113,2422
20,00:01:36.880,00:01:39.640,2423,2492
21,00:01:39.680,00:01:41.000,2493,2526
22,00:01:41.040,00:01:44.440,2527,2612
23,00:01:44.480,00:01:47.440,2613,2687
24,00:01:47.480,00:01:53.720,2688,2844
25,00:01:53.760,00:01:57.800,2845,2946
26,00:01:57.840,00:01:59.920,2947,2999
27,00:01:59.960,00:02:03.840,3000,3097
28,00:02:03.880,00:02:25.600,3098,3641
29,00:02:25.640,00:02:33.360,3642,3835
30,00:02:33.400,00:02:35.960,3836,3900
31,00:02:36.000,00:02:37.000,3901,3926
32,00:02:37.040,00:02:39.480,3927,3988
33,00:02:39.520,00:02:51.800,3989,4296
34,00:02:51.840,00:02:56.480,4297,4413
35,00:02:56.520,00:03:02.960,4414,4575
36,00:03:03.000,00:03:05.400,4576,4636
37,00:03:05.440,00:03:11.480,4637,4788
38,00:03:11.520,00:03:14.600,4789,4866
39,00:03:14.640,00:03:26.280,4867,5158
40,00:03:26.320,00:03:28.720,5159,5219
41,00:03:28.760,00:03:38.240,5220,5457
42,00:03:38.280,00:03:42.400,5458,5561
43,00:03:42.440,00:03:44.840,5562,5622
44,00:03:44.880,00:03:47.480,5623,5688
45,00:03:47.520,00:03:48.960,5689,5725
