No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.320,1,84
2,00:00:03.360,00:00:05.640,85,142
3,00:00:05.680,00:00:06.640,143,167
4,00:00:06.680,00:00:07.640,168,192
5,00:00:07.680,00:00:09.680,193,243
6,00:00:09.720,00:00:16.960,244,425
7,00:00:17.000,00:00:21.680,426,543
8,00:00:21.720,00:00:26.480,544,663
9,00:00:26.520,00:00:28.240,664,707
10,00:00:28.280,00:00:29.480,708,738
11,00:00:29.520,00:00:30.160,739,755
12,00:00:30.200,00:00:31.480,756,788
13,00:00:31.520,00:00:32.400,789,811
14,00:00:32.440,00:00:32.680,812,818
15,00:00:32.720,00:00:33.000,819,826
16,00:00:33.040,00:00:33.600,827,841
17,00:00:33.640,00:00:34.320,842,859
18,00:00:34.360,00:00:35.040,860,877
19,00:00:35.080,00:00:38.960,878,975
20,00:00:39.000,00:00:41.000,976,1026
21,00:00:41.040,00:00:42.000,1027,1051
22,00:00:42.040,00:00:43.920,1052,1099
23,00:00:43.960,00:00:48.720,1100,1219
