No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.880,1,48
2,00:00:01.920,00:00:07.360,49,185
3,00:00:07.400,00:00:11.400,186,286
4,00:00:11.440,00:00:19.120,287,479
5,00:00:19.160,00:00:26.000,480,651
6,00:00:26.040,00:00:34.640,652,867
7,00:00:34.680,00:00:45.440,868,1137
8,00:00:45.480,00:00:55.080,1138,1378
9,00:00:55.120,00:00:58.040,1379,1452
10,00:00:58.080,00:01:01.320,1453,1534
11,00:01:01.360,00:01:03.880,1535,1598
12,00:01:03.920,00:01:15.680,1599,1893
13,00:01:15.720,00:01:18.440,1894,1962
14,00:01:18.480,00:01:28.120,1963,2204
15,00:01:28.160,00:01:37.360,2205,2435
16,00:01:37.400,00:01:37.880,2436,2448
