No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.760,1,45
2,00:00:01.800,00:00:05.800,46,146
3,00:00:05.840,00:00:07.720,147,194
4,00:00:07.760,00:00:10.600,195,266
5,00:00:10.640,00:00:12.240,267,307
6,00:00:12.280,00:00:13.960,308,350
7,00:00:14.000,00:00:16.200,351,406
8,00:00:16.240,00:00:19.880,407,498
9,00:00:19.920,00:00:23.280,499,583
10,00:00:23.320,00:00:24.400,584,611
11,00:00:24.440,00:00:25.760,612,645
12,00:00:25.800,00:00:26.800,646,671
13,00:00:26.840,00:00:29.120,672,729
14,00:00:29.160,00:00:30.960,730,775
15,00:00:31.000,00:00:35.040,776,877
16,00:00:35.080,00:00:40.160,878,1005
17,00:00:40.200,00:00:41.520,1006,1039
18,00:00:41.560,00:00:44.800,1040,1121
19,00:00:44.840,00:00:47.560,1122,1190
20,00:00:47.600,00:00:49.160,1191,1230
21,00:00:49.200,00:00:53.960,1231,1350
22,00:00:54.000,00:00:56.320,1351,1409
23,00:00:56.360,00:00:57.800,1410,1446
24,00:00:57.840,00:01:03.960,1447,1600
25,00:01:04.000,00:01:07.760,1601,1695
26,00:01:07.800,00:01:09.720,1696,1744
27,00:01:09.760,00:01:13.400,1745,1836
28,00:01:13.440,00:01:14.960,1837,1875
29,00:01:15.000,00:01:18.640,1876,1967
30,00:01:18.680,00:01:24.080,1968,2103
31,00:01:24.120,00:01:28.200,2104,2206
32,00:01:28.240,00:01:34.920,2207,2374
33,00:01:34.960,00:01:37.320,2375,2434
34,00:01:37.360,00:01:38.920,2435,2474
35,00:01:38.960,00:01:41.160,2475,2530
36,00:01:41.200,00:01:44.120,2531,2604
37,00:01:44.160,00:01:48.360,2605,2710
38,00:01:48.400,00:01:50.360,2711,2760
39,00:01:50.400,00:01:52.160,2761,2805
40,00:01:52.200,00:01:53.120,2806,2829
41,00:01:53.160,00:02:03.160,2830,3080
42,00:02:03.200,00:02:08.480,3081,3213
43,00:02:08.520,00:02:11.160,3214,3280
44,00:02:11.200,00:02:14.600,3281,3366
